"category"	"permutation_test"	"BF-FF"	"BMS8"	"BMS10"	"BMS16"	"BF3"	"BF4"	"BF6"	"FF2"	"FF3"	"FF7"	"FF13"	"FF15"	"FF5"	"BMS8"	"BMS10"	"BMS16"	"BF3"	"BF4"	"BF6"	"FF2"	"FF3"	"FF7"	"FF13"	"FF15"	"FF5"	"BMS8"	"BMS10"	"BMS16"	"BF3"	"BF4"	"BF6"	"FF2"	"FF3"	"FF7"	"FF13"	"FF15"	"FF5"
"11"	"Respiration - Sodium Ion-Coupled Energetics"	0.1251	0.0257268837547837	1	72	30	4	28	0	1	0	0	11	6	0	0.00292397660818713	0.0708661417322835	0.0562851782363977	0.00459242250287026	0.0401721664275466	0	0.003003003003003	0	0	0.00854700854700855	0.00892857142857143	0	6.1839094675654e-05	0.00246845858475041	0.00157282164202579	0.000107215610592902	0.000727820956044813	0	5.23532799329878e-05	0	0	0.000283154859967051	0.000210150257434065	0
"12"	"Stress Response - Acid stress"	0.8878	0.000462276754189612	3	0	1	9	0	23	5	1	2	0	6	0	0.0115830115830116	0	0.0025	0.0122950819672131	0	0.0212569316081331	0.0183150183150183	0.00198019801980198	0.0114942528735632	0	0.0130718954248366	0	0.000185517284026962	0	5.24273880675265e-05	0.000241235123834030	0	0.000553430063283525	0.000261766399664939	3.22164948453608e-05	0.000115680490485280	0	0.000210150257434065	0
"13"	"Stress Response - Detoxification"	0.3928	-0.00899875868770558	8	8	1	12	7	2	6	17	10	1	7	4	0.0308880308880309	0.015748031496063	0.0025	0.0163934426229508	0.0173697270471464	0.00184842883548983	0.0219780219780220	0.0336633663366337	0.0574712643678161	0.000965250965250965	0.0152505446623094	0.00941176470588235	0.000494712757405232	0.000274273176083379	5.24273880675265e-05	0.000321646831778707	0.000181955239011203	4.81243533290021e-05	0.000314119679597927	0.000547680412371134	0.000578402452426398	2.57413509060956e-05	0.000245175300339743	0.000116397497453805
"14"	"Stress Response - Osmotic stress"	0.3097	0.0144690125291714	26	32	31	95	51	127	21	29	15	122	47	37	0.100386100386100	0.062992125984252	0.0775	0.129781420765027	0.126550868486352	0.117375231053604	0.0769230769230769	0.0574257425742574	0.0862068965517241	0.117760617760618	0.10239651416122	0.0870588235294118	0.00160781646156700	0.00109709270433352	0.00162524903009332	0.00254637075158143	0.00132567388422448	0.00305589643639164	0.00109941887859274	0.000934278350515464	0.000867603678639597	0.00314044481054366	0.00164617701656685	0.00107667685144769
"15"	"Stress Response - Oxidative stress"	0.5246	0.0162179381094282	87	139	81	221	123	282	63	120	53	273	148	95	0.335907335907336	0.273622047244095	0.2025	0.301912568306011	0.305210918114144	0.260628465804067	0.230769230769231	0.237623762376238	0.304597701149425	0.263513513513513	0.322440087145970	0.223529411764706	0.00538000123678189	0.00476549643444871	0.00424661843346964	0.00592366248525785	0.00319721348548257	0.0067855338193893	0.00329825663577823	0.0038659793814433	0.00306553299785991	0.00702738879736409	0.00518370635004028	0.00276444056452786
"16"	"Stress Response - Periplasmic Stress"	0.7239	-0.00368894211638626	6	13	4	24	10	46	12	8	2	65	14	7	0.0231660231660232	0.0255905511811024	0.01	0.0327868852459016	0.0248138957816377	0.0425138632162662	0.0439560439560440	0.0158415841584158	0.0114942528735632	0.0627413127413127	0.0305010893246187	0.0164705882352941	0.000371034568053924	0.000445693911135491	0.000209709552270106	0.000643293663557414	0.000259936055730290	0.00110686012656705	0.000628239359195854	0.000257731958762887	0.000115680490485280	0.00167318780889621	0.000490350600679486	0.000203695620544158
"17"	"Stress Response - Stress Response"	0.6599	-0.0184615265886974	129	316	282	371	212	602	166	330	92	575	237	282	0.498069498069498	0.622047244094488	0.705	0.506830601092896	0.52605459057072	0.55637707948244	0.608058608058608	0.653465346534653	0.528735632183908	0.555019305019305	0.516339869281046	0.663529411764706	0.00797724321315936	0.0108337904552935	0.0147845234350425	0.0099442478824917	0.00551064438148216	0.0144854303520296	0.00869064446887598	0.0106314432989691	0.00532130256232286	0.0148012767710049	0.00830093516864558	0.00820602357049323
"18"	"Amino Acids and Derivatives - Alanine, serine, and glycine"	0.298	0.0115010722721383	113	250	120	286	296	387	101	228	97	379	193	233	0.0680313064419025	0.0853533629224991	0.06993006993007	0.0745957224830464	0.0687093779015785	0.115729665071770	0.0525767829255596	0.0753221010901883	0.0540992749581707	0.0978316985028394	0.0667127549256827	0.0668004587155963	0.0069878176983489	0.0085710367526056	0.00629128656810318	0.00766591615739252	0.0076941072496166	0.00931206236916191	0.00528768127323177	0.00734536082474227	0.00561050378853606	0.00975597199341021	0.00675983328079577	0.00678015422668413
"19"	"Amino Acids and Derivatives - Arginine; urea cycle, polyamines"	0.9817	-0.000160737313551873	188	429	217	468	387	541	234	347	197	677	389	367	0.113184828416616	0.146466370775009	0.126456876456876	0.122065727699531	0.0898328690807799	0.161782296650718	0.121811556480999	0.114634952097787	0.109871723368656	0.174754775425916	0.134462495679226	0.105217889908257	0.0116257497990229	0.0147078990674712	0.0113767432106532	0.0125442264393696	0.0100595253567622	0.0130176375754951	0.0122506675043191	0.0111791237113402	0.0113945283128000	0.0174268945634267	0.0136247416903086	0.0106794703913866
"20"	"Amino Acids and Derivatives - Aromatic amino acids and derivatives"	0.7418	-0.0035800659269693	287	359	228	581	708	441	339	409	270	469	428	580	0.172787477423239	0.122567429156709	0.132867132867133	0.151538862806468	0.164345403899721	0.131877990430622	0.176470588235294	0.135117277832838	0.15058561070831	0.121063500258131	0.147943311441410	0.166284403669725	0.0177478201719127	0.0123080087767416	0.0119534444793960	0.0155730674386191	0.0184034727457046	0.0106114199090450	0.0177477618972829	0.0131765463917526	0.0156168662155128	0.0120726935749588	0.01499071836363	0.0168776371308017
"21"	"Amino Acids and Derivatives - Branched-chain amino acids"	0.5355	-0.00433109308422343	189	319	221	472	480	342	225	404	247	396	332	380	0.113786875376279	0.108910891089109	0.128787878787879	0.123109024517475	0.111420612813370	0.102272727272727	0.117126496616346	0.133465477370334	0.137757947573899	0.102219927723283	0.114759764949879	0.108944954128440	0.0116875888936986	0.0109366428963247	0.0115864527629234	0.0126514420499625	0.0124769306750539	0.00822926441925937	0.0117794879849223	0.0130154639175258	0.0142865405749320	0.0101935749588138	0.0116283142446850	0.0110577622581115
"22"	"Amino Acids and Derivatives - Glutamine, glutamate, aspartate, asparagine; ammonia assimilation"	0.3369	0.00404290435998495	31	98	75	90	122	115	66	72	41	88	80	92	0.0186634557495485	0.0334585182656197	0.0437062937062937	0.0234741784037559	0.0283194057567317	0.0343899521531100	0.0343571056741281	0.0237859266600595	0.0228667038482989	0.0227155394940630	0.0276529554096094	0.0263761467889908	0.00191701193494527	0.00335984640702139	0.00393205410506449	0.00241235123834030	0.00317121987990954	0.00276715031641762	0.00345531647557719	0.00231958762886598	0.00237145005494823	0.00226523887973641	0.00280200343245420	0.00267714244143751
"23"	"Amino Acids and Derivatives - Histidine Metabolism"	0.4295	0.00926686484663196	130	350	112	361	478	170	149	271	133	271	198	292	0.078266104756171	0.119494708091499	0.0652680652680653	0.0941575378195097	0.110956360259981	0.0508373205741627	0.07756376887038	0.0895275850677238	0.0741773563859453	0.0699535363964894	0.0684410646387833	0.0837155963302752	0.00803908230783501	0.0119994514536478	0.00587186746356297	0.00967620885600944	0.0124249434639079	0.00409057003296518	0.00780063871001518	0.00873067010309278	0.0076927526172711	0.0069759060955519	0.00693495849532416	0.00849701731412775
"24"	"Amino Acids and Derivatives - Lysine, threonine, methionine, and cysteine"	0.1663	-0.0222756343691904	637	913	563	1345	1596	1092	700	1112	721	1284	1042	1323	0.383503913305238	0.311710481392967	0.328088578088578	0.350808555033907	0.370473537604457	0.326555023923445	0.364393545028631	0.367360422860918	0.402119353039598	0.331440371708828	0.360179744210162	0.379300458715596	0.0393915033083916	0.0313014262205156	0.0295166194820174	0.0360512490618634	0.0414857944945543	0.0262758969176352	0.0366472959530915	0.0358247422680412	0.0417028168199433	0.0330518945634267	0.036496094707716	0.0384984722828459
"25"	"Amino Acids and Derivatives - Osmotic stress"	0.9561	0.000307942098212870	11	55	16	51	36	105	18	31	6	129	56	36	0.00662251655629139	0.0187777398429498	0.00932400932400932	0.013302034428795	0.00835654596100279	0.0313995215311005	0.00937011972930765	0.0102411628675256	0.00334634690462911	0.0332989158492514	0.0193570687867266	0.0103211009174312	0.000680230041432193	0.00188562808557323	0.000838838209080424	0.00136699903505950	0.000935769800629045	0.00252652854977261	0.00094235903879378	0.000998711340206185	0.000347041471455839	0.00332063426688633	0.00196140240271794	0.00104757747708424
"26"	"Amino Acids and Derivatives - Proline and 4-hydroxyproline"	0.7763	0.00531479082717179	75	156	164	180	205	151	89	153	81	179	175	185	0.045153521974714	0.0532604984636395	0.0955710955710956	0.0469483568075117	0.047585886722377	0.0451555023923445	0.0463300364393545	0.0505450941526264	0.045175683212493	0.046205472379969	0.0604908399585206	0.0530389908256881	0.00463793210067405	0.00534832693362589	0.00859809164307434	0.00482470247668060	0.00532868914247095	0.00363338867633966	0.00465944191403591	0.00492912371134021	0.00468505986465383	0.00460770181219110	0.00612938250849357	0.00538338425723847
"27"	"Amino Acids and Derivatives - Amino Acids and Derivatives"	1	-8.6043710204784e-05	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.000516262261228704	0	0	0	0	0	0	0	0	0	0	0	5.14827018121911e-05	0	0
"28"	"Carbohydrates - Aminosugars"	0.0306	0.0145256978914305	92	282	30	167	182	287	54	86	62	152	71	97	0.0340488527017024	0.050994575045208	0.00899550224887556	0.0267285531370038	0.0300280481768685	0.0398721867185329	0.0175666883539362	0.0142195767195767	0.0214310404424473	0.0184982353657052	0.0144455747711088	0.0173524150268336	0.00568919671016016	0.00966812945693911	0.00157282164202579	0.00447625174225367	0.00473083621429128	0.0069058447027118	0.00282707711638134	0.00277061855670103	0.00358609520504367	0.00391268533772652	0.00248677804630311	0.00282263931325477
"29"	"Carbohydrates - CO2 fixation"	0.8998	0.00050628492019883	14	5	4	24	5	104	9	34	7	20	34	17	0.00518134715025907	0.000904159132007233	0.00119940029985007	0.00384122919334187	0.000824946378485398	0.0144484579049736	0.00292778139232271	0.00562169312169312	0.00241963359834082	0.00243397833759280	0.0069175991861648	0.00304114490161002	0.000865747325459155	0.000171420735052112	0.000209709552270106	0.000643293663557414	0.000129968027865145	0.00250246637310811	0.00047117951939689	0.00109536082474227	0.000404881716698479	0.000514827018121911	0.00119085145879304	0.00049468936417867
"30"	"Carbohydrates - Carbohydrates"	0.4348	-0.00849235282129146	105	3	62	217	250	116	132	62	164	87	134	298	0.038860103626943	0.00054249547920434	0.0185907046476762	0.0347311139564661	0.0412473189242699	0.0161155876632398	0.0429407937540664	0.0102513227513228	0.0566885585896993	0.0105878057685287	0.0272634791454730	0.053309481216458	0.00649310494094366	0.000102852441031267	0.00325049806018664	0.00581644687466495	0.00649840139325726	0.00279121249308212	0.00691063295115439	0.00199742268041237	0.00948580021979293	0.00223949752883031	0.00469335574936079	0.00867161356030845
"31"	"Carbohydrates - Central carbohydrate metabolism"	0.121	0.0300972662909154	672	1721	720	1491	1688	1577	760	1122	620	1813	1124	1314	0.248704663212435	0.311211573236890	0.215892053973014	0.238636363636364	0.278501897376671	0.219088635732148	0.247234873129473	0.185515873015873	0.214310404424473	0.220640136302787	0.228687690742625	0.235062611806798	0.0415558716220395	0.0590030170049369	0.0377477194086191	0.0399646188485043	0.043877206207273	0.0379460525999182	0.0397884927490707	0.0361469072164948	0.0358609520504367	0.0466690691927512	0.0393681482259816	0.0382365779135749
"32"	"Carbohydrates - Clustering-based subsystems"	0.6977	0.00227751137067438	34	37	27	148	23	247	38	104	5	192	55	54	0.0125832716506292	0.00669077757685353	0.008095952023988	0.0236875800256082	0.00379475334103283	0.0343150875243123	0.0123617436564736	0.0171957671957672	0.00172830971310059	0.0233661920408908	0.0111902339776195	0.00966010733452594	0.00210252921897223	0.00126851343938563	0.00141553947782321	0.00396697759193739	0.000597852928179668	0.00594335763613176	0.00198942463745354	0.00335051546391753	0.000289201226213199	0.00494233937397035	0.00192637735981227	0.00157136621562636
"33"	"Carbohydrates - Di- and oligosaccharides"	0.6015	-0.0185384843932323	785	902	1173	1642	1892	1348	790	2183	888	1815	1331	1466	0.290525536639526	0.163110307414105	0.351724137931034	0.262804097311140	0.312159709618875	0.187274242845235	0.256994144437215	0.360945767195767	0.306947805046664	0.220883534136546	0.270803662258393	0.262254025044723	0.0485436893203883	0.030924300603401	0.0614973262032086	0.0440120081483864	0.0491799017441709	0.0324358141437474	0.0413590911470604	0.0703286082474227	0.0513621377754642	0.0467205518945634	0.0466183321074568	0.0426596828168194
"34"	"Carbohydrates - Fermentation"	0.4391	-0.0121964092687150	337	324	205	681	734	469	326	581	351	617	452	686	0.124722427831236	0.0585895117540687	0.0614692653673163	0.108994878361076	0.121102128361656	0.0651569880522367	0.106050748210800	0.0960648148148148	0.121327341859661	0.0750882317147377	0.0919633774160732	0.122719141323792	0.0208397749056954	0.0111080636313769	0.0107476145538429	0.0182534577034416	0.0190793064906033	0.011285160855651	0.0170671692581540	0.0187177835051546	0.0203019260801666	0.0158824135090610	0.0158313193933663	0.0199621708133275
"35"	"Carbohydrates - Monosaccharides"	0.432	-0.0239740467095856	330	1567	633	1046	676	1744	667	942	589	2000	1145	1161	0.122131754256107	0.283363471971067	0.189805097451274	0.167413572343150	0.111532750371226	0.242289524868019	0.216981132075472	0.155753968253968	0.203594884203249	0.243397833759280	0.232960325534079	0.207692307692308	0.0204069012429658	0.0537232583653319	0.0331865366467443	0.0280368821700440	0.0175716773673676	0.0419644361028899	0.0349196377153029	0.0303479381443299	0.0340679044479149	0.0514827018121911	0.0401036741270008	0.0337843736359668
"36"	"Carbohydrates - One-carbon Metabolism"	0.6605	0.00512969783477705	87	95	209	247	55	339	54	358	32	412	117	85	0.0321983715766099	0.0171790235081374	0.0626686656671664	0.0395326504481434	0.00907441016333938	0.0470964156710197	0.0175666883539362	0.0591931216931217	0.0110611821638438	0.0501399537544116	0.0238046795523906	0.0152057245080501	0.00538000123678189	0.00325699396599013	0.0109573241061130	0.00662056395411172	0.00142964830651660	0.00815707788926586	0.00282707711638134	0.0115335051546392	0.00185088784776447	0.0106054365733114	0.00409793001996427	0.00247344682089335
"37"	"Carbohydrates - Organic acids"	0.7363	0.00383843214154043	60	307	74	206	185	429	101	168	64	513	162	122	0.0222057735011103	0.0555153707052441	0.0221889055472264	0.0329705505761844	0.0305230160039597	0.0595998888580161	0.0328562134027326	0.0277777777777778	0.0221223643276875	0.0624315443592552	0.0329603255340793	0.021824686940966	0.00371034568053924	0.0105252331321997	0.00387962671699696	0.00552160394553447	0.00480881703101037	0.0103226737890710	0.00528768127323177	0.00541237113402062	0.00370177569552895	0.0132053130148270	0.00567405695071976	0.00355012367234104
"38"	"Carbohydrates - Quorum sensing and biofilm formation"	0.3172	0.00232831948231230	9	16	22	69	1	78	24	3	8	54	16	0	0.00333086602516654	0.00289330922242315	0.00659670164917541	0.0110435339308579	0.000164989275697080	0.0108363434287302	0.00780741704619388	0.000496031746031746	0.00276529554096094	0.00657174151150055	0.00325534079348932	0	0.000556551852080886	0.000548546352166758	0.00115340253748558	0.00184946928272757	2.59936055730290e-05	0.00187684977983108	0.00125647871839171	9.66494845360825e-05	0.000462721961941119	0.00139003294892916	0.000560400686490841	0
"39"	"Carbohydrates - Sugar alcohols"	0.2036	0.00670334153914274	167	245	169	280	367	399	107	349	102	433	245	263	0.0618060695780903	0.0443037974683544	0.0506746626686657	0.0448143405889885	0.0605510641808282	0.0554320644623507	0.0348080676642811	0.0577050264550265	0.035257518147252	0.052695631008884	0.0498474059003052	0.0470483005366726	0.0103271288108342	0.00839961601755348	0.00886022858341197	0.00750509274150316	0.00953965324530166	0.00960080848913593	0.0056018009528297	0.0112435567010309	0.00589970501474926	0.0111460049423394	0.008581135511891	0.00765313545758766
"40"	"Carbohydrates - Uptake system"	0.3156	-0.00220525827816735	10	26	7	30	3	61	12	56	1	109	29	27	0.00370096225018505	0.00470162748643761	0.00209895052473763	0.00480153649167734	0.000494967827091239	0.00847457627118644	0.00390370852309694	0.00925925925925926	0.000345661942620118	0.0132651819398807	0.00590030518819939	0.00483005366726297	0.00061839094675654	0.000891387822270982	0.000366991716472685	0.000804117079446767	7.79808167190871e-05	0.00146779277653457	0.000628239359195854	0.00180412371134021	5.78402452426398e-05	0.00280580724876442	0.00101572624426465	0.000785683107813182
"41"	"Secondary Metabolism - Aromatic amino acids and derivatives"	1	0	4	12	11	90	2	22	18	9	5	94	29	47	1	1	1	1	1	1	1	1	1	1	1	1	0.000247356378702616	0.000411409764125069	0.000576701268742791	0.00241235123834030	5.19872111460581e-05	0.000529367886619024	0.00094235903879378	0.000289948453608247	0.000289201226213199	0.00241968698517298	0.00101572624426465	0.00136767059508221
"42"	"Clustering-based subsystems - Biosynthesis of galactoglycans and related lipopolysacharides"	0.1092	0.0131648987740212	61	81	155	99	209	67	69	59	65	31	60	125	0.032620320855615	0.0254317111459969	0.0615079365079365	0.0227638537594849	0.0426966292134831	0.0164135227829495	0.0279918864097363	0.0153047989623865	0.0262308313155771	0.0081621906266456	0.0166712975826619	0.0280835767243316	0.00377218477521489	0.00277701590784421	0.0081262451504666	0.00265358636217433	0.00543266356476307	0.00161216583652157	0.00361237631537616	0.00190077319587629	0.00375961594077159	0.000797981878088962	0.00210150257434065	0.0036374217954314
"43"	"Clustering-based subsystems - CRISPRs and associated hypotheticals"	0.0961	0.00509169063162404	1	26	34	52	0	21	14	1	1	7	2	0	0.00053475935828877	0.00816326530612245	0.0134920634920635	0.0119567716716487	0	0.00514453699167075	0.00567951318458418	0.000259403372243839	0.000403551251008878	0.00184307530279094	0.000555709919422062	0	6.1839094675654e-05	0.000891387822270982	0.0017825311942959	0.00139380293770773	0	0.000505305709954523	0.00073294591906183	3.22164948453608e-05	5.78402452426398e-05	0.000180189456342669	7.00500858113551e-05	0
"44"	"Clustering-based subsystems - Cell Division"	0.3091	-0.00930018228916927	139	160	153	271	355	185	191	216	199	164	338	313	0.074331550802139	0.0502354788069074	0.0607142857142857	0.0623131754426305	0.0725229826353422	0.0453209211170995	0.0774847870182556	0.0560311284046693	0.0803066989507668	0.0431806213796735	0.0939149763823284	0.0703212761177264	0.0085956341599159	0.00548546352166758	0.00802139037433155	0.00726385761766913	0.0092277299784253	0.0044515026829327	0.00999947646720067	0.00695876288659794	0.0115102088032853	0.00422158154859967	0.0118384645021190	0.00910810417576022
"45"	"Clustering-based subsystems - Cluster of Unknown Function"	0.7374	0.00134587687342788	18	16	7	69	12	93	16	49	5	72	20	21	0.00962566844919786	0.00502354788069074	0.00277777777777778	0.0158657162566107	0.00245148110316650	0.0227829495345419	0.00649087221095335	0.0127107652399481	0.00201775625504439	0.018957345971564	0.00555709919422062	0.00471804088968771	0.00111310370416177	0.000548546352166758	0.000366991716472685	0.00184946928272757	0.000311923266876348	0.0022377824297986	0.000837652478927805	0.00157860824742268	0.000289201226213199	0.00185337726523888	0.000700500858113551	0.000611086861632475
"46"	"Clustering-based subsystems - Clustering-based subsystems"	0.154	-0.0279336879143754	845	1442	888	1992	2253	1951	1134	1945	1140	1740	1700	2073	0.451871657754011	0.452747252747253	0.352380952380952	0.458036330190848	0.46026557711951	0.477951984321411	0.460040567951318	0.504539559014267	0.460048426150121	0.458135860979463	0.472353431508752	0.465738036396315	0.0522540350009276	0.0494377399890291	0.0465555206039635	0.0533933740752654	0.0585635933560344	0.0469453066724416	0.0593686194440082	0.0626610824742268	0.0659378795766094	0.0447899505766063	0.0595425729396519	0.0603230030554343
"47"	"Clustering-based subsystems - Cytochrome biogenesis"	0.0867	0.0102517647931208	102	162	99	230	292	110	72	126	103	166	127	179	0.0545454545454545	0.0508634222919937	0.0392857142857143	0.0528857208553691	0.0596527068437181	0.0269475747182754	0.0292089249492901	0.0326848249027237	0.0415657788539144	0.0437072143233281	0.0352875798833009	0.0402156818692429	0.0063075876569167	0.00555403181568843	0.00519031141868512	0.00616489760909188	0.00759013282732448	0.00264683943309512	0.00376943615517512	0.00405927835051546	0.0059575452599919	0.00427306425041186	0.00444818044902105	0.00520878801105776
"48"	"Clustering-based subsystems - D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster"	0.5112	0.00100794878788676	6	9	3	13	4	34	6	11	1	19	7	3	0.00320855614973262	0.00282574568288854	0.00119047619047619	0.00298919291791216	0.000817160367722165	0.00832925036746693	0.00243407707910751	0.00285343709468223	0.000403551251008878	0.00500263296471827	0.00194498471797722	0.000674005841383959	0.000371034568053924	0.000308557323093801	0.000157282164202579	0.000348450734426933	0.000103974422292116	0.000818114006593036	0.000314119679597927	0.000354381443298969	5.78402452426398e-05	0.000489085667215815	0.000245175300339743	8.72981230903536e-05
"49"	"Clustering-based subsystems - DNA polymerase III epsilon cluster"	0.9624	4.56312775151597e-05	2	3	3	19	7	34	4	7	1	32	14	4	0.00106951871657754	0.000941915227629513	0.00119047619047619	0.00436882041848701	0.00143003064351379	0.00832925036746693	0.00162271805273834	0.00181582360570687	0.000403551251008878	0.00842548709847288	0.00388996943595443	0.000898674455178612	0.000123678189351308	0.000102852441031267	0.000157282164202579	0.000509274150316286	0.000181955239011203	0.000818114006593036	0.000209413119731951	0.000225515463917526	5.78402452426398e-05	0.000823723228995058	0.000490350600679486	0.000116397497453805
"50"	"Clustering-based subsystems - Fatty acid metabolic cluster"	0.4291	0.00713212484944339	15	165	132	31	81	50	30	114	36	95	51	44	0.00802139037433155	0.0518053375196232	0.0523809523809524	0.0071280754196367	0.0165474974463739	0.0122488975992161	0.0121703853955375	0.0295719844357977	0.0145278450363196	0.0250131648235914	0.0141706029452626	0.00988541900696473	0.00092758642013481	0.0056568842567197	0.0069204152249135	0.000830920982094993	0.00210548205141535	0.00120310883322505	0.00157059839798963	0.00367268041237113	0.00208224882873503	0.00244542833607908	0.00178627718818956	0.00128037247199185
"51"	"Clustering-based subsystems - Flagella protein?"	0.7968	0.000618577608354772	1	0	2	4	1	25	1	8	1	2	2	4	0.00053475935828877	0	0.000793650793650794	0.000919751667049897	0.000204290091930541	0.00612444879960804	0.000405679513184584	0.00207522697795071	0.000403551251008878	0.000526592943654555	0.000555709919422062	0.000898674455178612	6.1839094675654e-05	0	0.000104854776135053	0.000107215610592902	2.59936055730290e-05	0.000601554416612527	5.23532799329878e-05	0.000257731958762887	5.78402452426398e-05	5.14827018121911e-05	7.00500858113551e-05	0.000116397497453805
