"SEED1"	"perm_pvalue"	"BF_SEED1_ave-FF_SEED1_ave"	"BMS8"	"BMS10"	"BMS16"	"BF3"	"BF4"	"BF6"	"FF2"	"FF3"	"FF7"	"FF13"	"FF15"	"FF5"	"BMS8"	"BMS10"	"BMS16"	"BF3"	"BF4"	"BF6"	"FF2"	"FF3"	"FF7"	"FF13"	"FF15"	"FF5"
"DNA Metabolism"	"0.1379"	"-0.00688096580636365"	"825"	"1436"	"986"	"1843"	"2301"	"1706"	"1117"	"1655"	"1183"	"1630"	"1757"	"2054"	"0.0510172531074145"	"0.0492320351069665"	"0.0516934046345811"	"0.0493995925806797"	"0.0598112864235398"	"0.0410500733896388"	"0.0584786136851474"	"0.0533182989690722"	"0.0684250101220429"	"0.0419584019769357"	"0.0615390003852755"	"0.0597701149425287"
"Nucleosides and Nucleotides"	"0.7127"	"-0.00169981823277187"	"828"	"1296"	"909"	"1838"	"1963"	"1288"	"937"	"1404"	"862"	"1579"	"1404"	"1746"	"0.0512027703914415"	"0.0444322545255074"	"0.0476564957533816"	"0.0492655730674386"	"0.051025447739856"	"0.0309920835438774"	"0.0490550232972096"	"0.0452319587628866"	"0.0498582913991555"	"0.0406455930807249"	"0.0491751602395713"	"0.0508075076385858"
"Fatty Acids and Lipids"	"0.0499"	"-0.00395557879819869"	"257"	"194"	"212"	"583"	"557"	"635"	"356"	"428"	"320"	"540"	"505"	"696"	"0.0158926473316431"	"0.00665112452002194"	"0.0111146062703156"	"0.0156266752439155"	"0.0144784383041772"	"0.0152794821819582"	"0.0186377676561437"	"0.0137886597938144"	"0.0185088784776447"	"0.0139003294892916"	"0.0176876466673672"	"0.020253164556962"
"Motility and Chemotaxis"	"0.4718"	"-0.001421460743"	"97"	"100"	"114"	"241"	"200"	"483"	"200"	"418"	"62"	"296"	"107"	"286"	"0.00599839218353843"	"0.00342841470104224"	"0.00597672223969802"	"0.00645974053822237"	"0.00519872111460581"	"0.011622031328954"	"0.0104706559865976"	"0.0134664948453608"	"0.00358609520504367"	"0.00761943986820428"	"0.0037476795909075"	"0.00832242106794704"
"Sulfur Metabolism"	"0.7778"	"0.000900321015901076"	"146"	"524"	"277"	"253"	"774"	"297"	"218"	"213"	"269"	"351"	"294"	"584"	"0.00902850782264548"	"0.0179648930334613"	"0.0145223864947048"	"0.00678138737000107"	"0.0201190507135245"	"0.00714646646935682"	"0.0114130150253913"	"0.00686211340206186"	"0.0155590259702701"	"0.00903521416803954"	"0.0102973626142692"	"0.0169940346282555"
"Virulence"	"0.0106"	"0.0193883263162061"	"685"	"1767"	"1224"	"1824"	"1660"	"3235"	"749"	"767"	"551"	"1697"	"1090"	"1478"	"0.042359779852823"	"0.0605800877674163"	"0.0641711229946524"	"0.0488903184303635"	"0.0431493852512282"	"0.077841141509661"	"0.0392126066698079"	"0.0247100515463918"	"0.0318699751286945"	"0.0436830724876442"	"0.0381772967671885"	"0.0430088753091808"
"Protein Metabolism"	"0.8231"	"-0.00199797568956986"	"1803"	"2721"	"1564"	"3663"	"4271"	"2784"	"1908"	"2874"	"1911"	"2929"	"2747"	"3448"	"0.111495887700204"	"0.0932871640153593"	"0.0819964349376114"	"0.0981826954004503"	"0.111018689402407"	"0.066989099833971"	"0.0998900581121407"	"0.092590206185567"	"0.110532708658685"	"0.0753964168039539"	"0.0962137928618963"	"0.10033464280518"
"Miscellaneous"	"0.523"	"0.0114663889522887"	"688"	"420"	"499"	"1921"	"371"	"4223"	"630"	"1496"	"143"	"1534"	"720"	"787"	"0.0425452971368499"	"0.0143993417443774"	"0.0261612666456957"	"0.0514902969872413"	"0.00964362766759377"	"0.101614572054188"	"0.0329825663577823"	"0.0481958762886598"	"0.0082711550696975"	"0.0394872322899506"	"0.0252180308920878"	"0.0229012076240361"
"Nitrogen Metabolism"	"0.6509"	"-0.000718272179070384"	"46"	"87"	"37"	"225"	"126"	"379"	"69"	"171"	"36"	"439"	"127"	"122"	"0.00284459835508008"	"0.00298272078990675"	"0.00193981335849848"	"0.00603087809585076"	"0.00327519430220166"	"0.0091195649558459"	"0.00361237631537616"	"0.0055090206185567"	"0.00208224882873503"	"0.0113004530477759"	"0.00444818044902105"	"0.00355012367234104"
"Metabolism of Aromatic Compounds"	"0.9186"	"-0.000162172211071263"	"1"	"138"	"81"	"189"	"22"	"32"	"64"	"8"	"7"	"378"	"54"	"27"	"6.1839094675654e-05"	"0.00473121228743829"	"0.00424661843346964"	"0.00506593760051463"	"0.000571859322606639"	"0.000769989653264034"	"0.00335060991571122"	"0.000257731958762887"	"0.000404881716698479"	"0.00973023064250412"	"0.00189135231690659"	"0.000785683107813182"
"Phosphorus Metabolism"	"0.6962"	"-0.000606577510824484"	"331"	"481"	"319"	"551"	"782"	"495"	"327"	"577"	"302"	"630"	"440"	"671"	"0.0204687403376415"	"0.0164906747120132"	"0.0167243367935409"	"0.0147689503591723"	"0.0203269995581087"	"0.011910777448928"	"0.017119522538087"	"0.0185889175257732"	"0.0174677540632772"	"0.0162170510708402"	"0.0154110188784981"	"0.0195256801978757"
"Potassium metabolism"	"0.0609"	"-0.00171931968860962"	"85"	"141"	"97"	"190"	"197"	"317"	"122"	"142"	"132"	"367"	"223"	"257"	"0.00525632304743059"	"0.00483406472846956"	"0.00508545664255007"	"0.00509274150316286"	"0.00512074029788672"	"0.00762771000264684"	"0.00638710015182451"	"0.00457474226804124"	"0.00763491237202846"	"0.00944707578253707"	"0.0078105845679661"	"0.00747853921140695"
"RNA Metabolism"	"0.367"	"-0.00168540770926434"	"691"	"1225"	"644"	"1582"	"1567"	"1702"	"884"	"1327"	"727"	"1458"	"1230"	"1409"	"0.0427308144208769"	"0.0419980800877674"	"0.033763237915487"	"0.0424037739894929"	"0.0407319799329365"	"0.0409538246829808"	"0.0462802994607612"	"0.0427512886597938"	"0.0420498582913992"	"0.0375308896210873"	"0.0430808027739834"	"0.0410010184781027"
"Regulation and Cell signaling"	"0.4824"	"0.00121795122837445"	"169"	"199"	"144"	"481"	"259"	"602"	"160"	"313"	"82"	"463"	"266"	"247"	"0.0104508070001855"	"0.00682254525507405"	"0.00754954388172381"	"0.0128926771737965"	"0.00673234384341452"	"0.0144854303520296"	"0.00837652478927805"	"0.0100837628865979"	"0.00474290010989647"	"0.0119182454695222"	"0.00931666141291023"	"0.00718754546777244"
"Unclassified"	"0.1085"	"0.00379138108334592"	"573"	"934"	"819"	"1466"	"1458"	"1675"	"614"	"1174"	"490"	"1423"	"975"	"1239"	"0.0354338012491497"	"0.0320213933077345"	"0.0429380308273042"	"0.0392945212822987"	"0.0378986769254763"	"0.0403041459130393"	"0.0321449138788545"	"0.0378221649484536"	"0.0283417201688935"	"0.036629942339374"	"0.0341494168330356"	"0.036054124836316"
"Macromolecular Synthesis"	"1"	"-1.35905303014329e-06"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.40621766645011e-05"	"0"	"3.22164948453608e-05"	"0"	"0"	"0"	"0"
"Prophage"	"0.4684"	"-1.35754423827398e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"5.23532799329878e-05"	"0"	"0"	"0"	"0"	"2.90993743634512e-05"
