"Gene ID","GE Number","Taxa ID","Species","Kingdom","Column found"
"1","GE1071362","566546","Escherichia coli W","bacteria","nt.Taxa"
"1","GE1071362","585054","Escherichia fergusonii ATCC 35469","bacteria","nt.Taxa"
"1","GE1071362","344609","Shigella boydii CDC 3083-94","bacteria","nt.Taxa"
"1","GE1071362","300268","Shigella boydii Sb227","bacteria","nt.Taxa"
"1","GE1071362","623","Shigella flexneri","bacteria","patnt.Taxa"
"1","GE1071362","591020","Shigella flexneri 2002017","bacteria","nt.Taxa"
"1","GE1071362","198215","Shigella flexneri 2a str. 2457T","bacteria","nt.Taxa"
"1","GE1071362","198214","Shigella flexneri 2a str. 301","bacteria","nt.Taxa"
"1","GE1071362","373384","Shigella flexneri 5 str. 8401","bacteria","nt.Taxa"
"1","GE1071362","624","Shigella sonnei","bacteria","patnt.Taxa"
"1","GE1071362","300269","Shigella sonnei Ss046","bacteria","nt.Taxa"
"2","GE1071372","562","Escherichia coli","bacteria","nt.Taxa"
"2","GE1071372","562","Escherichia coli","bacteria","patnt.Taxa"
"2","GE1071372","866768","Escherichia coli BL21-Gold(DE3)pLysS AG","bacteria","nt.Taxa"
"2","GE1071372","216592","Escherichia coli 042","bacteria","nt.Taxa"
"2","GE1071372","362663","Escherichia coli 536","bacteria","nt.Taxa"
"2","GE1071372","585055","Escherichia coli 55989","bacteria","nt.Taxa"
"2","GE1071372","655817","Escherichia coli ABU 83972","bacteria","nt.Taxa"
"2","GE1071372","405955","Escherichia coli APEC O1","bacteria","nt.Taxa"
"2","GE1071372","481805","Escherichia coli ATCC 8739","bacteria","nt.Taxa"
"2","GE1071372","413997","Escherichia coli B str. REL606","bacteria","nt.Taxa"
"2","GE1071372","469008","Escherichia coli BL21(DE3)","bacteria","nt.Taxa"
"2","GE1071372","595496","Escherichia coli BW2952","bacteria","nt.Taxa"
"2","GE1071372","199310","Escherichia coli CFT073","bacteria","nt.Taxa"
"2","GE1071372","536056","Escherichia coli DH1","bacteria","nt.Taxa"
"2","GE1071372","331111","Escherichia coli E24377A","bacteria","nt.Taxa"
"2","GE1071372","585397","Escherichia coli ED1a","bacteria","nt.Taxa"
"2","GE1071372","316401","Escherichia coli ETEC H10407","bacteria","nt.Taxa"
"2","GE1071372","331112","Escherichia coli HS","bacteria","nt.Taxa"
"2","GE1071372","585034","Escherichia coli IAI1","bacteria","nt.Taxa"
"2","GE1071372","585057","Escherichia coli IAI39","bacteria","nt.Taxa"
"2","GE1071372","714962","Escherichia coli IHE3034","bacteria","nt.Taxa"
"2","GE1071372","591946","Escherichia coli LF82","bacteria","nt.Taxa"
"2","GE1071372","585395","Escherichia coli O103:H2 str. 12009","bacteria","nt.Taxa"
"2","GE1071372","585396","Escherichia coli O111:H- str. 11128","bacteria","nt.Taxa"
"2","GE1071372","574521","Escherichia coli O127:H6 str. E2348/69","bacteria","nt.Taxa"
"2","GE1071372","444450","Escherichia coli O157:H7 str. EC4115","bacteria","nt.Taxa"
"2","GE1071372","386585","Escherichia coli O157:H7 str. Sakai","bacteria","nt.Taxa"
"2","GE1071372","544404","Escherichia coli O157:H7 str. TW14359","bacteria","nt.Taxa"
"2","GE1071372","573235","Escherichia coli O26:H11 str. 11368","bacteria","nt.Taxa"
"2","GE1071372","701177","Escherichia coli O55:H7 str. CB9615","bacteria","nt.Taxa"
"2","GE1071372","685038","Escherichia coli O83:H1 str. NRG 857C","bacteria","nt.Taxa"
"2","GE1071372","585035","Escherichia coli S88","bacteria","nt.Taxa"
"2","GE1071372","409438","Escherichia coli SE11","bacteria","nt.Taxa"
"2","GE1071372","431946","Escherichia coli SE15","bacteria","nt.Taxa"
"2","GE1071372","439855","Escherichia coli SMS-3-5","bacteria","nt.Taxa"
"2","GE1071372","511145","Escherichia coli str. K-12 substr. MG1655","bacteria","nt.Taxa"
"2","GE1071372","316407","Escherichia coli str. K-12 substr. W3110","bacteria","nt.Taxa"
"2","GE1071372","869729","Escherichia coli UM146","bacteria","nt.Taxa"
"2","GE1071372","585056","Escherichia coli UMN026","bacteria","nt.Taxa"
"2","GE1071372","364106","Escherichia coli UTI89","bacteria","nt.Taxa"
"2","GE1071372","566546","Escherichia coli W","bacteria","nt.Taxa"
"2","GE1071372","585054","Escherichia fergusonii ATCC 35469","bacteria","nt.Taxa"
"2","GE1071372","344609","Shigella boydii CDC 3083-94","bacteria","nt.Taxa"
"2","GE1071372","300268","Shigella boydii Sb227","bacteria","nt.Taxa"
"2","GE1071372","300267","Shigella dysenteriae Sd197","bacteria","nt.Taxa"
"2","GE1071372","623","Shigella flexneri","bacteria","patnt.Taxa"
"2","GE1071372","591020","Shigella flexneri 2002017","bacteria","nt.Taxa"
"2","GE1071372","198215","Shigella flexneri 2a str. 2457T","bacteria","nt.Taxa"
"2","GE1071372","198214","Shigella flexneri 2a str. 301","bacteria","nt.Taxa"
"2","GE1071372","373384","Shigella flexneri 5 str. 8401","bacteria","nt.Taxa"
"2","GE1071372","624","Shigella sonnei","bacteria","patnt.Taxa"
"2","GE1071372","300269","Shigella sonnei Ss046","bacteria","nt.Taxa"
"3","GE1071373","562","Escherichia coli","bacteria","nt.Taxa"
"3","GE1071373","562","Escherichia coli","bacteria","patnt.Taxa"
"3","GE1071373","866768","Escherichia coli BL21-Gold(DE3)pLysS AG","bacteria","nt.Taxa"
"3","GE1071373","585055","Escherichia coli 55989","bacteria","nt.Taxa"
"3","GE1071373","481805","Escherichia coli ATCC 8739","bacteria","nt.Taxa"
"3","GE1071373","413997","Escherichia coli B str. REL606","bacteria","nt.Taxa"
"3","GE1071373","469008","Escherichia coli BL21(DE3)","bacteria","nt.Taxa"
"3","GE1071373","595496","Escherichia coli BW2952","bacteria","nt.Taxa"
"3","GE1071373","536056","Escherichia coli DH1","bacteria","nt.Taxa"
"3","GE1071373","331111","Escherichia coli E24377A","bacteria","nt.Taxa"
"3","GE1071373","316401","Escherichia coli ETEC H10407","bacteria","nt.Taxa"
"3","GE1071373","331112","Escherichia coli HS","bacteria","nt.Taxa"
"3","GE1071373","585034","Escherichia coli IAI1","bacteria","nt.Taxa"
"3","GE1071373","585395","Escherichia coli O103:H2 str. 12009","bacteria","nt.Taxa"
"3","GE1071373","585396","Escherichia coli O111:H- str. 11128","bacteria","nt.Taxa"
"3","GE1071373","573235","Escherichia coli O26:H11 str. 11368","bacteria","nt.Taxa"
"3","GE1071373","409438","Escherichia coli SE11","bacteria","nt.Taxa"
"3","GE1071373","511145","Escherichia coli str. K-12 substr. MG1655","bacteria","nt.Taxa"
"3","GE1071373","316407","Escherichia coli str. K-12 substr. W3110","bacteria","nt.Taxa"
"3","GE1071373","566546","Escherichia coli W","bacteria","nt.Taxa"
"3","GE1071373","344609","Shigella boydii CDC 3083-94","bacteria","nt.Taxa"
"3","GE1071373","300268","Shigella boydii Sb227","bacteria","nt.Taxa"
"3","GE1071373","623","Shigella flexneri","bacteria","patnt.Taxa"
"3","GE1071373","591020","Shigella flexneri 2002017","bacteria","nt.Taxa"
"3","GE1071373","198215","Shigella flexneri 2a str. 2457T","bacteria","nt.Taxa"
"3","GE1071373","373384","Shigella flexneri 5 str. 8401","bacteria","nt.Taxa"
"3","GE1071373","624","Shigella sonnei","bacteria","patnt.Taxa"
"3","GE1071373","300269","Shigella sonnei Ss046","bacteria","nt.Taxa"
"4","GE1071374","701347","Enterobacter cloacae SCF1","bacteria","nt.Taxa"
"4","GE1071374","562","Escherichia coli","bacteria","nt.Taxa"
"4","GE1071374","562","Escherichia coli","bacteria","patnt.Taxa"
"4","GE1071374","866768","Escherichia coli BL21-Gold(DE3)pLysS AG","bacteria","nt.Taxa"
"4","GE1071374","216592","Escherichia coli 042","bacteria","nt.Taxa"
"4","GE1071374","585055","Escherichia coli 55989","bacteria","nt.Taxa"
"4","GE1071374","405955","Escherichia coli APEC O1","bacteria","nt.Taxa"
"4","GE1071374","481805","Escherichia coli ATCC 8739","bacteria","nt.Taxa"
"4","GE1071374","413997","Escherichia coli B str. REL606","bacteria","nt.Taxa"
"4","GE1071374","469008","Escherichia coli BL21(DE3)","bacteria","nt.Taxa"
"4","GE1071374","595496","Escherichia coli BW2952","bacteria","nt.Taxa"
"4","GE1071374","536056","Escherichia coli DH1","bacteria","nt.Taxa"
"4","GE1071374","331111","Escherichia coli E24377A","bacteria","nt.Taxa"
"4","GE1071374","316401","Escherichia coli ETEC H10407","bacteria","nt.Taxa"
"4","GE1071374","331112","Escherichia coli HS","bacteria","nt.Taxa"
"4","GE1071374","585034","Escherichia coli IAI1","bacteria","nt.Taxa"
"4","GE1071374","714962","Escherichia coli IHE3034","bacteria","nt.Taxa"
"4","GE1071374","585395","Escherichia coli O103:H2 str. 12009","bacteria","nt.Taxa"
"4","GE1071374","585396","Escherichia coli O111:H- str. 11128","bacteria","nt.Taxa"
"4","GE1071374","444450","Escherichia coli O157:H7 str. EC4115","bacteria","nt.Taxa"
"4","GE1071374","386585","Escherichia coli O157:H7 str. Sakai","bacteria","nt.Taxa"
"4","GE1071374","544404","Escherichia coli O157:H7 str. TW14359","bacteria","nt.Taxa"
"4","GE1071374","573235","Escherichia coli O26:H11 str. 11368","bacteria","nt.Taxa"
"4","GE1071374","701177","Escherichia coli O55:H7 str. CB9615","bacteria","nt.Taxa"
"4","GE1071374","585035","Escherichia coli S88","bacteria","nt.Taxa"
"4","GE1071374","409438","Escherichia coli SE11","bacteria","nt.Taxa"
"4","GE1071374","511145","Escherichia coli str. K-12 substr. MG1655","bacteria","nt.Taxa"
"4","GE1071374","316407","Escherichia coli str. K-12 substr. W3110","bacteria","nt.Taxa"
"4","GE1071374","869729","Escherichia coli UM146","bacteria","nt.Taxa"
"4","GE1071374","364106","Escherichia coli UTI89","bacteria","nt.Taxa"
"4","GE1071374","566546","Escherichia coli W","bacteria","nt.Taxa"
"4","GE1071374","585054","Escherichia fergusonii ATCC 35469","bacteria","nt.Taxa"
"4","GE1071374","344609","Shigella boydii CDC 3083-94","bacteria","nt.Taxa"
"4","GE1071374","300268","Shigella boydii Sb227","bacteria","nt.Taxa"
"4","GE1071374","300267","Shigella dysenteriae Sd197","bacteria","nt.Taxa"
"4","GE1071374","623","Shigella flexneri","bacteria","patnt.Taxa"
"4","GE1071374","591020","Shigella flexneri 2002017","bacteria","nt.Taxa"
"4","GE1071374","198215","Shigella flexneri 2a str. 2457T","bacteria","nt.Taxa"
"4","GE1071374","198214","Shigella flexneri 2a str. 301","bacteria","nt.Taxa"
"4","GE1071374","373384","Shigella flexneri 5 str. 8401","bacteria","nt.Taxa"
"4","GE1071374","624","Shigella sonnei","bacteria","patnt.Taxa"
"4","GE1071374","300269","Shigella sonnei Ss046","bacteria","nt.Taxa"
"5","GE1071376","562","Escherichia coli","bacteria","nt.Taxa"
"5","GE1071376","562","Escherichia coli","bacteria","patnt.Taxa"
"5","GE1071376","866768","Escherichia coli BL21-Gold(DE3)pLysS AG","bacteria","nt.Taxa"
"5","GE1071376","216592","Escherichia coli 042","bacteria","nt.Taxa"
"5","GE1071376","362663","Escherichia coli 536","bacteria","nt.Taxa"
"5","GE1071376","585055","Escherichia coli 55989","bacteria","nt.Taxa"
"5","GE1071376","655817","Escherichia coli ABU 83972","bacteria","nt.Taxa"
"5","GE1071376","405955","Escherichia coli APEC O1","bacteria","nt.Taxa"
"5","GE1071376","481805","Escherichia coli ATCC 8739","bacteria","nt.Taxa"
"5","GE1071376","413997","Escherichia coli B str. REL606","bacteria","nt.Taxa"
"5","GE1071376","469008","Escherichia coli BL21(DE3)","bacteria","nt.Taxa"
"5","GE1071376","595496","Escherichia coli BW2952","bacteria","nt.Taxa"
"5","GE1071376","199310","Escherichia coli CFT073","bacteria","nt.Taxa"
"5","GE1071376","536056","Escherichia coli DH1","bacteria","nt.Taxa"
"5","GE1071376","331111","Escherichia coli E24377A","bacteria","nt.Taxa"
"5","GE1071376","585397","Escherichia coli ED1a","bacteria","nt.Taxa"
"5","GE1071376","316401","Escherichia coli ETEC H10407","bacteria","nt.Taxa"
"5","GE1071376","331112","Escherichia coli HS","bacteria","nt.Taxa"
"5","GE1071376","585034","Escherichia coli IAI1","bacteria","nt.Taxa"
"5","GE1071376","585057","Escherichia coli IAI39","bacteria","nt.Taxa"
"5","GE1071376","714962","Escherichia coli IHE3034","bacteria","nt.Taxa"
"5","GE1071376","591946","Escherichia coli LF82","bacteria","nt.Taxa"
"5","GE1071376","585395","Escherichia coli O103:H2 str. 12009","bacteria","nt.Taxa"
"5","GE1071376","585396","Escherichia coli O111:H- str. 11128","bacteria","nt.Taxa"
"5","GE1071376","574521","Escherichia coli O127:H6 str. E2348/69","bacteria","nt.Taxa"
"5","GE1071376","444450","Escherichia coli O157:H7 str. EC4115","bacteria","nt.Taxa"
"5","GE1071376","386585","Escherichia coli O157:H7 str. Sakai","bacteria","nt.Taxa"
"5","GE1071376","544404","Escherichia coli O157:H7 str. TW14359","bacteria","nt.Taxa"
"5","GE1071376","573235","Escherichia coli O26:H11 str. 11368","bacteria","nt.Taxa"
"5","GE1071376","701177","Escherichia coli O55:H7 str. CB9615","bacteria","nt.Taxa"
"5","GE1071376","685038","Escherichia coli O83:H1 str. NRG 857C","bacteria","nt.Taxa"
"5","GE1071376","585035","Escherichia coli S88","bacteria","nt.Taxa"
"5","GE1071376","409438","Escherichia coli SE11","bacteria","nt.Taxa"
"5","GE1071376","431946","Escherichia coli SE15","bacteria","nt.Taxa"
"5","GE1071376","439855","Escherichia coli SMS-3-5","bacteria","nt.Taxa"
"5","GE1071376","511145","Escherichia coli str. K-12 substr. MG1655","bacteria","nt.Taxa"
"5","GE1071376","316407","Escherichia coli str. K-12 substr. W3110","bacteria","nt.Taxa"
"5","GE1071376","869729","Escherichia coli UM146","bacteria","nt.Taxa"
"5","GE1071376","585056","Escherichia coli UMN026","bacteria","nt.Taxa"
"5","GE1071376","364106","Escherichia coli UTI89","bacteria","nt.Taxa"
"5","GE1071376","566546","Escherichia coli W","bacteria","nt.Taxa"
"5","GE1071376","585054","Escherichia fergusonii ATCC 35469","bacteria","nt.Taxa"
"5","GE1071376","344609","Shigella boydii CDC 3083-94","bacteria","nt.Taxa"
"5","GE1071376","300268","Shigella boydii Sb227","bacteria","nt.Taxa"
"5","GE1071376","300267","Shigella dysenteriae Sd197","bacteria","nt.Taxa"
"5","GE1071376","623","Shigella flexneri","bacteria","patnt.Taxa"
"5","GE1071376","591020","Shigella flexneri 2002017","bacteria","nt.Taxa"
"5","GE1071376","198215","Shigella flexneri 2a str. 2457T","bacteria","nt.Taxa"
"5","GE1071376","198214","Shigella flexneri 2a str. 301","bacteria","nt.Taxa"
"5","GE1071376","373384","Shigella flexneri 5 str. 8401","bacteria","nt.Taxa"
"5","GE1071376","624","Shigella sonnei","bacteria","patnt.Taxa"
"5","GE1071376","300269","Shigella sonnei Ss046","bacteria","nt.Taxa"
"6","GE1071387","562","Escherichia coli","bacteria","nt.Taxa"
"6","GE1071387","562","Escherichia coli","bacteria","patnt.Taxa"
"6","GE1071387","866768","Escherichia coli BL21-Gold(DE3)pLysS AG","bacteria","nt.Taxa"
"6","GE1071387","362663","Escherichia coli 536","bacteria","nt.Taxa"
"6","GE1071387","585055","Escherichia coli 55989","bacteria","nt.Taxa"
"6","GE1071387","655817","Escherichia coli ABU 83972","bacteria","nt.Taxa"
"6","GE1071387","405955","Escherichia coli APEC O1","bacteria","nt.Taxa"
"6","GE1071387","413997","Escherichia coli B str. REL606","bacteria","nt.Taxa"
"6","GE1071387","469008","Escherichia coli BL21(DE3)","bacteria","nt.Taxa"
"6","GE1071387","595496","Escherichia coli BW2952","bacteria","nt.Taxa"
"6","GE1071387","199310","Escherichia coli CFT073","bacteria","nt.Taxa"
"6","GE1071387","536056","Escherichia coli DH1","bacteria","nt.Taxa"
"6","GE1071387","331111","Escherichia coli E24377A","bacteria","nt.Taxa"
"6","GE1071387","585397","Escherichia coli ED1a","bacteria","nt.Taxa"
"6","GE1071387","316401","Escherichia coli ETEC H10407","bacteria","nt.Taxa"
"6","GE1071387","331112","Escherichia coli HS","bacteria","nt.Taxa"
"6","GE1071387","585034","Escherichia coli IAI1","bacteria","nt.Taxa"
"6","GE1071387","585057","Escherichia coli IAI39","bacteria","nt.Taxa"
"6","GE1071387","714962","Escherichia coli IHE3034","bacteria","nt.Taxa"
"6","GE1071387","591946","Escherichia coli LF82","bacteria","nt.Taxa"
"6","GE1071387","585396","Escherichia coli O111:H- str. 11128","bacteria","nt.Taxa"
"6","GE1071387","574521","Escherichia coli O127:H6 str. E2348/69","bacteria","nt.Taxa"
"6","GE1071387","444450","Escherichia coli O157:H7 str. EC4115","bacteria","nt.Taxa"
"6","GE1071387","155864","Escherichia coli O157:H7 str. EDL933","bacteria","nt.Taxa"
"6","GE1071387","386585","Escherichia coli O157:H7 str. Sakai","bacteria","nt.Taxa"
"6","GE1071387","544404","Escherichia coli O157:H7 str. TW14359","bacteria","nt.Taxa"
"6","GE1071387","573235","Escherichia coli O26:H11 str. 11368","bacteria","nt.Taxa"
"6","GE1071387","701177","Escherichia coli O55:H7 str. CB9615","bacteria","nt.Taxa"
"6","GE1071387","685038","Escherichia coli O83:H1 str. NRG 857C","bacteria","nt.Taxa"
"6","GE1071387","585035","Escherichia coli S88","bacteria","nt.Taxa"
"6","GE1071387","409438","Escherichia coli SE11","bacteria","nt.Taxa"
"6","GE1071387","431946","Escherichia coli SE15","bacteria","nt.Taxa"
"6","GE1071387","439855","Escherichia coli SMS-3-5","bacteria","nt.Taxa"
"6","GE1071387","316385","Escherichia coli str. K-12 substr. DH10B","bacteria","nt.Taxa"
"6","GE1071387","511145","Escherichia coli str. K-12 substr. MG1655","bacteria","nt.Taxa"
"6","GE1071387","316407","Escherichia coli str. K-12 substr. W3110","bacteria","nt.Taxa"
"6","GE1071387","869729","Escherichia coli UM146","bacteria","nt.Taxa"
"6","GE1071387","364106","Escherichia coli UTI89","bacteria","nt.Taxa"
"6","GE1071387","566546","Escherichia coli W","bacteria","nt.Taxa"
"6","GE1071387","344609","Shigella boydii CDC 3083-94","bacteria","nt.Taxa"
"6","GE1071387","300268","Shigella boydii Sb227","bacteria","nt.Taxa"
"6","GE1071387","300267","Shigella dysenteriae Sd197","bacteria","nt.Taxa"
"6","GE1071387","623","Shigella flexneri","bacteria","patnt.Taxa"
"6","GE1071387","591020","Shigella flexneri 2002017","bacteria","nt.Taxa"
"6","GE1071387","198215","Shigella flexneri 2a str. 2457T","bacteria","nt.Taxa"
"6","GE1071387","198214","Shigella flexneri 2a str. 301","bacteria","nt.Taxa"
"6","GE1071387","373384","Shigella flexneri 5 str. 8401","bacteria","nt.Taxa"
"6","GE1071387","624","Shigella sonnei","bacteria","patnt.Taxa"
"6","GE1071387","300269","Shigella sonnei Ss046","bacteria","nt.Taxa"
"7","GE1071390","562","Escherichia coli","bacteria","nt.Taxa"
"7","GE1071390","562","Escherichia coli","bacteria","patnt.Taxa"
"7","GE1071390","866768","Escherichia coli BL21-Gold(DE3)pLysS AG","bacteria","nt.Taxa"
"7","GE1071390","216592","Escherichia coli 042","bacteria","nt.Taxa"
"7","GE1071390","362663","Escherichia coli 536","bacteria","nt.Taxa"
"7","GE1071390","585055","Escherichia coli 55989","bacteria","nt.Taxa"
"7","GE1071390","655817","Escherichia coli ABU 83972","bacteria","nt.Taxa"
"7","GE1071390","405955","Escherichia coli APEC O1","bacteria","nt.Taxa"
"7","GE1071390","481805","Escherichia coli ATCC 8739","bacteria","nt.Taxa"
"7","GE1071390","413997","Escherichia coli B str. REL606","bacteria","nt.Taxa"
"7","GE1071390","469008","Escherichia coli BL21(DE3)","bacteria","nt.Taxa"
"7","GE1071390","595496","Escherichia coli BW2952","bacteria","nt.Taxa"
"7","GE1071390","199310","Escherichia coli CFT073","bacteria","nt.Taxa"
"7","GE1071390","536056","Escherichia coli DH1","bacteria","nt.Taxa"
"7","GE1071390","331111","Escherichia coli E24377A","bacteria","nt.Taxa"
"7","GE1071390","585397","Escherichia coli ED1a","bacteria","nt.Taxa"
"7","GE1071390","316401","Escherichia coli ETEC H10407","bacteria","nt.Taxa"
"7","GE1071390","331112","Escherichia coli HS","bacteria","nt.Taxa"
"7","GE1071390","585034","Escherichia coli IAI1","bacteria","nt.Taxa"
"7","GE1071390","585057","Escherichia coli IAI39","bacteria","nt.Taxa"
"7","GE1071390","714962","Escherichia coli IHE3034","bacteria","nt.Taxa"
"7","GE1071390","591946","Escherichia coli LF82","bacteria","nt.Taxa"
"7","GE1071390","585395","Escherichia coli O103:H2 str. 12009","bacteria","nt.Taxa"
"7","GE1071390","585396","Escherichia coli O111:H- str. 11128","bacteria","nt.Taxa"
"7","GE1071390","574521","Escherichia coli O127:H6 str. E2348/69","bacteria","nt.Taxa"
"7","GE1071390","444450","Escherichia coli O157:H7 str. EC4115","bacteria","nt.Taxa"
"7","GE1071390","155864","Escherichia coli O157:H7 str. EDL933","bacteria","nt.Taxa"
"7","GE1071390","386585","Escherichia coli O157:H7 str. Sakai","bacteria","nt.Taxa"
"7","GE1071390","544404","Escherichia coli O157:H7 str. TW14359","bacteria","nt.Taxa"
"7","GE1071390","573235","Escherichia coli O26:H11 str. 11368","bacteria","nt.Taxa"
"7","GE1071390","701177","Escherichia coli O55:H7 str. CB9615","bacteria","nt.Taxa"
"7","GE1071390","685038","Escherichia coli O83:H1 str. NRG 857C","bacteria","nt.Taxa"
"7","GE1071390","585035","Escherichia coli S88","bacteria","nt.Taxa"
"7","GE1071390","409438","Escherichia coli SE11","bacteria","nt.Taxa"
"7","GE1071390","431946","Escherichia coli SE15","bacteria","nt.Taxa"
"7","GE1071390","439855","Escherichia coli SMS-3-5","bacteria","nt.Taxa"
"7","GE1071390","316385","Escherichia coli str. K-12 substr. DH10B","bacteria","nt.Taxa"
"7","GE1071390","511145","Escherichia coli str. K-12 substr. MG1655","bacteria","nt.Taxa"
"7","GE1071390","316407","Escherichia coli str. K-12 substr. W3110","bacteria","nt.Taxa"
"7","GE1071390","869729","Escherichia coli UM146","bacteria","nt.Taxa"
"7","GE1071390","585056","Escherichia coli UMN026","bacteria","nt.Taxa"
"7","GE1071390","364106","Escherichia coli UTI89","bacteria","nt.Taxa"
"7","GE1071390","566546","Escherichia coli W","bacteria","nt.Taxa"
"7","GE1071390","585054","Escherichia fergusonii ATCC 35469","bacteria","nt.Taxa"
"7","GE1071390","344609","Shigella boydii CDC 3083-94","bacteria","nt.Taxa"
"7","GE1071390","300268","Shigella boydii Sb227","bacteria","nt.Taxa"
"7","GE1071390","300267","Shigella dysenteriae Sd197","bacteria","nt.Taxa"
"7","GE1071390","623","Shigella flexneri","bacteria","patnt.Taxa"
"7","GE1071390","591020","Shigella flexneri 2002017","bacteria","nt.Taxa"
"7","GE1071390","198215","Shigella flexneri 2a str. 2457T","bacteria","nt.Taxa"
"7","GE1071390","198214","Shigella flexneri 2a str. 301","bacteria","nt.Taxa"
"7","GE1071390","373384","Shigella flexneri 5 str. 8401","bacteria","nt.Taxa"
"7","GE1071390","624","Shigella sonnei","bacteria","patnt.Taxa"
"7","GE1071390","300269","Shigella sonnei Ss046","bacteria","nt.Taxa"
"8","GE1071393","290338","Citrobacter koseri ATCC BAA-895","bacteria","nt.Taxa"
"8","GE1071393","562","Escherichia coli","bacteria","nt.Taxa"
"8","GE1071393","562","Escherichia coli","bacteria","patnt.Taxa"
"8","GE1071393","866768","Escherichia coli BL21-Gold(DE3)pLysS AG","bacteria","nt.Taxa"
"8","GE1071393","216592","Escherichia coli 042","bacteria","nt.Taxa"
"8","GE1071393","362663","Escherichia coli 536","bacteria","nt.Taxa"
"8","GE1071393","585055","Escherichia coli 55989","bacteria","nt.Taxa"
"8","GE1071393","655817","Escherichia coli ABU 83972","bacteria","nt.Taxa"
"8","GE1071393","405955","Escherichia coli APEC O1","bacteria","nt.Taxa"
"8","GE1071393","481805","Escherichia coli ATCC 8739","bacteria","nt.Taxa"
"8","GE1071393","413997","Escherichia coli B str. REL606","bacteria","nt.Taxa"
"8","GE1071393","469008","Escherichia coli BL21(DE3)","bacteria","nt.Taxa"
"8","GE1071393","595496","Escherichia coli BW2952","bacteria","nt.Taxa"
"8","GE1071393","199310","Escherichia coli CFT073","bacteria","nt.Taxa"
"8","GE1071393","536056","Escherichia coli DH1","bacteria","nt.Taxa"
"8","GE1071393","331111","Escherichia coli E24377A","bacteria","nt.Taxa"
"8","GE1071393","585397","Escherichia coli ED1a","bacteria","nt.Taxa"
"8","GE1071393","316401","Escherichia coli ETEC H10407","bacteria","nt.Taxa"
"8","GE1071393","331112","Escherichia coli HS","bacteria","nt.Taxa"
"8","GE1071393","585034","Escherichia coli IAI1","bacteria","nt.Taxa"
"8","GE1071393","585057","Escherichia coli IAI39","bacteria","nt.Taxa"
"8","GE1071393","714962","Escherichia coli IHE3034","bacteria","nt.Taxa"
