Transcript,Gene,GeneID,Cytoband,CopyNo,MappedReads,MappedLength,TranscriptLength,PrcntTranscriptCoverage,TotalMappedReads,TotalMappedLength
NM_001663.3,ARF6,382,14q21.3,42.2,947,526,3939,13.35,305394,7162405
NM_001712.4,CEACAM1,634,19q13.2,6.6,929,3280,3528,92.97,305394,7162405
NM_001024912.2,CEACAM1,634,19q13.2,6.7,926,3227,3475,92.86,305394,7162405
NM_001184815.1,CEACAM1,634,19q13.2,7,924,3085,3333,92.56,305394,7162405
NM_001184813.1,CEACAM1,634,19q13.2,7.2,922,2992,3240,92.35,305394,7162405
NM_001184816.1,CEACAM1,634,19q13.2,7.3,919,2939,3187,92.22,305394,7162405
NM_000584.2,IL8,3576,4q13-q21,29.5,891,709,1656,42.81,305394,7162405
NM_206876.1,PPP1CB,5500,2p23,6.5,889,3186,4786,66.57,305394,7162405
NM_002709.2,PPP1CB,5500,2p23,6.5,889,3186,4991,63.83,305394,7162405
NM_004905.2,PRDX6,9588,1q25.1,12.8,882,1616,1675,96.48,305394,7162405
NM_005324.3,H3F3B,3021,17q25,13,871,1566,2708,57.83,305394,7162405
NM_001015.3,RPS11,6205,19q13.3,39.2,865,517,614,84.2,305394,7162405
NM_019006.2,ZFAND6,54469,15q25.1,19.7,859,1023,1685,60.71,305394,7162405
NM_000801.3,FKBP1A,2280,20p13,18,832,1082,1636,66.14,305394,7162405
NM_001769.2,CD9,928,12p13.3,28.1,826,689,1236,55.74,305394,7162405
NM_002644.3,PIGR,5284,1q31-q41,10.7,822,1797,4278,42.01,305394,7162405
NM_006472.3,TXNIP,10628,1q21.1,7.2,819,2670,2930,91.13,305394,7162405
NM_016619.2,PLAC8,51316,4q21.22,20,819,962,1396,68.91,305394,7162405
NM_004419.3,DUSP5,1847,10q25,41.6,810,457,2532,18.05,305394,7162405
NM_000111.2,SLC26A3,1811,7q31,6.6,806,2882,2894,99.59,305394,7162405
NM_001130716.1,PLAC8,51316,4q21.22,21.2,803,889,1435,61.95,305394,7162405
NM_001866.2,COX7B,1349,Xq21.1,42.3,800,444,456,97.37,305394,7162405
NM_005971.3,FXYD3,5349,19q13.12,17,798,1098,1382,79.45,305394,7162405
NM_001136011.1,FXYD3,5349,19q13.12,15.7,793,1182,1466,80.63,305394,7162405
NM_001136007.1,FXYD3,5349,19q13.12,17.3,792,1074,1588,67.63,305394,7162405
NM_001677.3,ATP1B1,481,1q24,14.2,776,1280,2205,58.05,305394,7162405
NM_004161.4,RAB1A,5861,2p14,9.4,770,1912,2648,72.21,305394,7162405
NM_015543.1,RAB1A,5861,2p14,10.8,769,1669,2420,68.97,305394,7162405
NM_017716.2,MS4A12,54860,11q12,15.8,751,1113,1168,95.29,305394,7162405
NM_001136012.1,FXYD3,5349,19q13.12,15,750,1176,1460,80.55,305394,7162405
NM_018457.3,PRR13,54458,12q12,25.6,746,684,1199,57.05,305394,7162405
NM_001005354.2,PRR13,54458,12q12,25.6,746,684,1049,65.2,305394,7162405
NM_021910.2,FXYD3,5349,19q13.12,13.9,745,1260,1544,81.61,305394,7162405
NM_001164470.1,MS4A12,54860,11q12,17.8,738,975,1030,94.66,305394,7162405
NM_005980.2,S100P,6286,4p16,36.9,724,460,510,90.2,305394,7162405
NM_001160124.1,KLF6,1316,10p15,4.3,713,3889,4540,85.66,305394,7162405
NM_001160125.1,KLF6,1316,10p15,4.3,713,3891,4542,85.67,305394,7162405
NM_001300.5,KLF6,1316,10p15,4.2,713,4015,4666,86.05,305394,7162405
NM_194284.2,CLDN23,137075,8p23.1,26.7,706,619,1956,31.65,305394,7162405
NM_014394.2,GHITM,27069,10q23.1,11.3,645,1344,2449,54.88,305394,7162405
NM_006890.3,CEACAM7,1087,19q13.2,7,643,2155,2289,94.15,305394,7162405
NM_018948.3,ERRFI1,54206,1p36,9.3,634,1604,3133,51.2,305394,7162405
NM_001924.2,GADD45A,1647,1p31.2,22.9,630,644,1355,47.53,305394,7162405
NM_014220.2,TM4SF1,4071,3q21-q25,10.3,622,1422,1696,83.84,305394,7162405
NM_001017963.2,HSP90AA1,3320,14q32.33,4.8,610,2952,3887,75.95,305394,7162405
NM_005348.3,HSP90AA1,3320,14q32.33,4.8,610,2952,3366,87.7,305394,7162405
NM_002823.4,PTMA,5757,2q37.1,11.9,599,1183,1207,98.01,305394,7162405
NM_001099285.1,PTMA,5757,2q37.1,11.8,599,1186,1210,98.02,305394,7162405
NM_001144663.1,CDH17,1015,8q22.1,4.1,594,3406,3699,92.08,305394,7162405
NM_004063.3,CDH17,1015,8q22.1,4.1,594,3406,3698,92.1,305394,7162405
NM_015842.2,LMO7,4008,13q22.2,2.6,585,5305,6778,78.27,305394,7162405
NM_005358.5,LMO7,4008,13q22.2,3.1,585,4412,7240,60.94,305394,7162405
NM_003337.2,UBE2B,7320,5q31.1,8.4,579,1617,2631,61.46,305394,7162405
NM_001497.3,B4GALT1,2683,9p13,6.7,578,2010,4204,47.81,305394,7162405
NM_003831.3,RIOK3,8780,18q11.2,4.4,562,3030,4035,75.09,305394,7162405
NM_005534.3,IFNGR2,3460,21q22.11,14,554,929,2225,41.75,305394,7162405
NM_004616.2,TSPAN8,7103,12q14.1-q21.1,12,541,1054,1135,92.86,305394,7162405
NM_005746.2,NAMPT,10135,7q22.3,5.3,532,2344,4584,51.13,305394,7162405
NM_001111077.1,EZR,7430,6q25.3,4.7,517,2601,3119,83.39,305394,7162405
NM_003379.4,EZR,7430,6q25.3,4.7,517,2601,3153,82.49,305394,7162405
NM_014624.3,S100A6,6277,1q21,27.9,516,433,683,63.4,305394,7162405
NM_002107.3,H3F3A,3020,1q41,13.7,515,879,1053,83.48,305394,7162405
NM_006815.3,TMED2,10959,12q24.31,10,507,1186,2126,55.79,305394,7162405
NM_004360.3,CDH1,999,16q22.1,6.6,506,1790,4815,37.18,305394,7162405
NM_004872.3,TMEM59,9528,1p32.3,9.5,502,1234,1699,72.63,305394,7162405
NM_001102421.1,ZFAND5,7763,9q13-q21,2.8,496,4207,5736,73.34,305394,7162405
NM_006007.2,ZFAND5,7763,9q13-q21,2.8,496,4207,5733,73.38,305394,7162405
NM_001102420.1,ZFAND5,7763,9q13-q21,2.8,496,4207,5873,71.63,305394,7162405
NM_001660.3,ARF4,378,3p21.2-p21.1,9.6,491,1204,1743,69.08,305394,7162405
NM_001730.3,KLF5,688,13q22.1,6.4,490,1796,3350,53.61,305394,7162405
NM_001130715.1,PLAC8,51316,4q21.22,24.4,479,460,1003,45.86,305394,7162405
NM_194434.2,VAPA,9218,18p11.22,3.1,471,3521,6859,51.33,305394,7162405
NM_003574.5,VAPA,9218,18p11.22,3,471,3656,6994,52.27,305394,7162405
NM_080391.3,PTP4A2,8073,1p35,3.3,469,3318,3939,84.23,305394,7162405
NM_004414.5,RCAN1,1827,21q22.12,10,465,1088,2432,44.74,305394,7162405
NM_203418.1,RCAN1,1827,21q22.12,10,465,1088,2409,45.16,305394,7162405
NM_203417.1,RCAN1,1827,21q22.12,10,465,1088,2277,47.78,305394,7162405
NM_013293.3,TRA2A,29896,7p15.3,13.4,464,815,1843,44.22,305394,7162405
NM_000986.3,RPL24,6152,3q12,20.5,461,527,567,92.95,305394,7162405
NM_002356.5,MARCKS,4082,6q22.2,4.1,459,2609,4294,60.76,305394,7162405
NM_052886.2,MAL2,114569,8q23,4.5,455,2367,2821,83.91,305394,7162405
NM_006016.4,CD164,8763,6q21,3.7,451,2857,3115,91.72,305394,7162405
NM_001142402.1,CD164,8763,6q21,3.8,449,2800,3058,91.56,305394,7162405
NM_001142401.1,CD164,8763,6q21,3.7,448,2818,3076,91.61,305394,7162405
NM_001614.2,ACTG1,71,17q25,14.8,428,677,1919,35.28,305394,7162405
NM_001142403.1,CD164,8763,6q21,4.4,421,2261,2519,89.76,305394,7162405
NM_005345.5,HSPA1A,3303,6p21.3,19.4,420,509,2432,20.93,305394,7162405
NM_015714.3,G0S2,50486,1q32.2,27.8,417,352,967,36.4,305394,7162405
NM_001142404.1,CD164,8763,6q21,4.5,416,2165,2423,89.35,305394,7162405
NM_001017369.1,SC4MOL,6307,4q32-q34,7,408,1369,1862,73.52,305394,7162405
NM_006745.3,SC4MOL,6307,4q32-q34,7,408,1369,2148,63.73,305394,7162405
NM_014399.3,TSPAN13,27075,7p21.1,8.1,404,1174,1905,61.63,305394,7162405
NM_013230.2,CD24,100133941,6q21,5,403,1886,2186,86.28,305394,7162405
NM_001195100.1,PTP4A2,8073,1p35,2.9,398,3243,3463,93.65,305394,7162405
NM_003921.4,BCL10,8915,1p22,4.4,385,2043,3107,65.75,305394,7162405
NM_001195101.1,PTP4A2,8073,1p35,2.8,385,3225,3445,93.61,305394,7162405
NM_005354.4,JUND,3727,19p13.2,20.8,384,433,1875,23.09,305394,7162405
NM_001130678.1,EIF4E,1977,4q21-q25,3.6,368,2375,3406,69.73,305394,7162405
NM_001130679.1,EIF4E,1977,4q21-q25,3.6,368,2375,4842,49.05,305394,7162405
NM_001968.3,EIF4E,1977,4q21-q25,3.6,368,2375,4749,50.01,305394,7162405
NM_152338.2,ZG16,653808,16p11.2,13.7,361,618,681,90.75,305394,7162405
NM_021103.3,TMSB10,9168,2p11.2,18.1,353,457,482,94.81,305394,7162405
NM_003576.3,STK24,8428,13q31.2-q32.3,8.7,352,945,4539,20.82,305394,7162405
NM_001032296.2,STK24,8428,13q31.2-q32.3,8.7,352,945,4624,20.44,305394,7162405
NM_006136.2,CAPZA2,830,7q31.2-q31.3,4.8,350,1715,2360,72.67,305394,7162405
NM_001166103.1,SPINT2,10653,19q13.1,9.4,346,863,1635,52.78,305394,7162405
NM_021102.3,SPINT2,10653,19q13.1,9.4,346,863,1806,47.79,305394,7162405
NM_018584.5,CAMK2N1,55450,1p36.12,6.1,342,1325,2355,56.26,305394,7162405
NM_016929.3,CLIC5,53405,6p12.3,1.4,335,5507,5712,96.41,305394,7162405
NM_001099668.1,HIGD1A,25994,3p22.1,3.2,334,2482,2941,84.39,305394,7162405
NM_001099669.1,HIGD1A,25994,3p22.1,3.2,334,2482,2794,88.83,305394,7162405
NM_014056.3,HIGD1A,25994,3p22.1,3.2,334,2482,2770,89.6,305394,7162405
NM_001114086.1,CLIC5,53405,6p12.3,2.9,333,2678,5977,44.81,305394,7162405
NM_003979.3,GPRC5A,9052,12p13-p12.3,8.9,325,857,2856,30.01,305394,7162405
NM_025147.3,COQ10B,80219,2q33.1,19.6,319,382,1979,19.3,305394,7162405
NM_005721.3,ACTR3,10096,2q14.1,3.3,309,2198,2717,80.9,305394,7162405
NM_133376.2,ITGB1,3688,10p11.2,14.8,306,486,3794,12.81,305394,7162405
NM_002211.3,ITGB1,3688,10p11.2,14.8,306,486,3879,12.53,305394,7162405
NM_033668.2,ITGB1,3688,10p11.2,14.8,306,486,3739,13,305394,7162405
NM_033546.3,MYL12B,103910,18p11.31,8.3,304,856,1009,84.84,305394,7162405
NM_000367.2,TPMT,7172,6p22.3,3,303,2382,3250,73.29,305394,7162405
NM_001144944.1,MYL12B,103910,18p11.31,8.9,302,792,1028,77.04,305394,7162405
NM_005655.2,KLF10,7071,8q22.2,6.9,302,1032,2955,34.92,305394,7162405
NM_001144945.1,MYL12B,103910,18p11.31,8.9,302,792,950,83.37,305394,7162405
NM_003405.3,YWHAH,7533,22q12.3,19.3,302,367,1797,20.42,305394,7162405
NM_001032282.2,KLF10,7071,8q22.2,6.9,302,1032,3236,31.89,305394,7162405
NM_001007553.1,CSDE1,7812,1p22,14,300,503,4115,12.22,305394,7162405
NM_001130523.1,CSDE1,7812,1p22,14,300,503,4216,11.93,305394,7162405
NM_007158.4,CSDE1,7812,1p22,14,300,503,4027,12.49,305394,7162405
NM_000416.2,IFNGR1,3459,6q23.3,10.4,294,664,2125,31.25,305394,7162405
NM_001145319.1,PLS1,5357,3q23,1.9,291,3575,3708,96.41,305394,7162405
NM_001172312.1,PLS1,5357,3q23,1.9,291,3575,3869,92.4,305394,7162405
NM_002670.2,PLS1,5357,3q23,1.9,291,3575,3724,96,305394,7162405
NM_079423.2,MYL6,4637,12q13.2,10.3,289,656,713,92.01,305394,7162405
NM_183376.2,ARRDC4,91947,15q26.3,3.8,289,1766,4074,43.35,305394,7162405
NM_001023.3,RPS20,6224,8q12,13.4,287,501,844,59.36,305394,7162405
NM_001195536.1,CHMP5,51510,9p13.3,11.6,285,577,1957,29.48,305394,7162405
NM_016410.5,CHMP5,51510,9p13.3,11.6,285,577,2070,27.87,305394,7162405
NM_021019.3,MYL6,4637,12q13.2,9.4,280,701,758,92.48,305394,7162405
NM_001284.2,AP3S1,1176,5q22,10.5,279,624,1292,48.3,305394,7162405
NM_004949.3,DSC2,1824,18q12.1,3.7,278,1779,5248,33.9,305394,7162405
NM_024422.3,DSC2,1824,18q12.1,3.7,278,1779,5202,34.2,305394,7162405
NM_181890.1,UBE2D3,7323,4q24,4.5,276,1448,2176,66.54,305394,7162405
NM_181893.1,UBE2D3,7323,4q24,4.5,276,1448,1995,72.58,305394,7162405
NM_181887.1,UBE2D3,7323,4q24,4.5,276,1448,2348,61.67,305394,7162405
NM_181886.2,UBE2D3,7323,4q24,4.5,276,1448,2580,56.12,305394,7162405
NM_181888.2,UBE2D3,7323,4q24,4.5,276,1448,2229,64.96,305394,7162405
NM_181891.1,UBE2D3,7323,4q24,4.5,276,1448,2140,67.66,305394,7162405
NM_018890.3,RAC1,5879,7p22,3.8,276,1726,2398,71.98,305394,7162405
NM_006908.4,RAC1,5879,7p22,3.8,276,1726,2341,73.73,305394,7162405
NM_181889.1,UBE2D3,7323,4q24,4.5,276,1448,2222,65.17,305394,7162405
NM_181892.2,UBE2D3,7323,4q24,4.5,276,1448,2612,55.44,305394,7162405
NM_003340.5,UBE2D3,7323,4q24,4.5,276,1448,2372,61.05,305394,7162405
NM_021109.3,TMSB4X,7114,Xq21.3-q22,10.5,272,610,633,96.37,305394,7162405
NM_001098210.1,CTNNB1,1499,3p21,14.6,270,433,3256,13.3,305394,7162405
NM_000661.4,RPL9,6133,4p13,9.7,270,653,752,86.84,305394,7162405
NM_001904.3,CTNNB1,1499,3p21,14.6,270,433,3720,11.64,305394,7162405
NM_001098209.1,CTNNB1,1499,3p21,14.6,270,433,3415,12.68,305394,7162405
NM_015646.4,RAP1B,5908,12q14,5.9,269,1076,2112,50.95,305394,7162405
NM_197955.1,C15orf48,84419,15q21.1,8.6,269,731,806,90.69,305394,7162405
NM_001010942.1,RAP1B,5908,12q14,5.9,269,1076,2103,51.17,305394,7162405
NM_001024921.2,RPL9,6133,4p13,9.9,269,639,842,75.89,305394,7162405
NM_001128923.1,SH3D19,152503,4q31.3,8.4,268,751,5197,14.45,305394,7162405
NM_001009555.3,SH3D19,152503,4q31.3,8.4,268,751,5278,14.23,305394,7162405
NM_001128924.1,SH3D19,152503,4q31.3,8.4,268,751,4200,17.88,305394,7162405
NM_032413.2,C15orf48,84419,15q21.1,7.4,267,845,920,91.85,305394,7162405
NM_001146227.1,RPS20,6224,8q12,14.2,267,441,1013,43.53,305394,7162405
NM_000993.4,RPL31,6160,2q11.2,14.4,265,432,511,84.54,305394,7162405
NM_006367.3,CAP1,10487,1p34.2,4.9,265,1272,2778,45.79,305394,7162405
NM_001105530.1,CAP1,10487,1p34.2,4.9,265,1272,2760,46.09,305394,7162405
NM_014456.3,PDCD4,27250,10q24,3.2,262,1900,3575,53.15,305394,7162405
NM_025151.4,RAB11FIP1,80223,8p11.22,2.2,262,2855,5954,47.95,305394,7162405
NM_145341.2,PDCD4,27250,10q24,3.2,262,1900,3659,51.93,305394,7162405
NM_001002814.2,RAB11FIP1,80223,8p11.22,2.2,262,2855,7856,36.34,305394,7162405
NM_001166693.1,AFF1,4299,4q21,0.8,256,7963,9285,85.76,305394,7162405
NM_005935.2,AFF1,4299,4q21,0.8,256,7960,9378,84.88,305394,7162405
NM_198336.2,INSIG1,3638,7q36,5.6,255,1068,2628,40.64,305394,7162405
NM_005542.4,INSIG1,3638,7q36,5.6,255,1068,3013,35.45,305394,7162405
NM_005727.3,TSPAN1,10103,1p34.1,6.6,255,907,1633,55.54,305394,7162405
NM_198337.2,INSIG1,3638,7q36,5.6,255,1068,2721,39.25,305394,7162405
NM_001099693.1,RPL31,6160,2q11.2,8.4,254,710,789,89.99,305394,7162405
NM_018976.4,SLC38A2,54407,12q,1.6,249,3707,4888,75.84,305394,7162405
NM_012128.3,CLCA4,22802,1p31-p22,1.8,246,3186,3211,99.22,305394,7162405
NM_033049.3,MUC13,56667,3q21.2,2.1,244,2706,2884,93.83,305394,7162405
NM_001098577.2,RPL31,6160,2q11.2,15.9,244,361,1129,31.98,305394,7162405
NM_001443.1,FABP1,2168,2p11,11.8,243,483,489,98.77,305394,7162405
NM_002032.2,FTH1,2495,11q13,5.2,242,1097,1232,89.04,305394,7162405
NM_017455.3,NPTN,27020,15q22,8.2,239,681,2106,32.34,305394,7162405
NM_001161364.1,NPTN,27020,15q22,8.2,239,681,2094,32.52,305394,7162405
NM_012428.3,NPTN,27020,15q22,8.2,239,681,2454,27.75,305394,7162405
NM_001161363.1,NPTN,27020,15q22,8.2,239,681,2442,27.89,305394,7162405
NM_014585.5,SLC40A1,30061,2q32,5.5,237,1005,3358,29.93,305394,7162405
NM_014488.3,RAB30,27314,11q12-q14,6.2,236,895,1606,55.73,305394,7162405
NM_017454.2,STAU1,6780,20q13.1,8.2,235,675,3324,20.31,305394,7162405
NM_001037328.1,STAU1,6780,20q13.1,1.7,235,3188,3540,90.06,305394,7162405
NM_017453.2,STAU1,6780,20q13.1,8.2,235,675,3688,18.3,305394,7162405
NM_001032.3,RPS29,6235,14q,20,235,276,302,91.39,305394,7162405
NM_004602.2,STAU1,6780,20q13.1,1.7,235,3170,3522,90.01,305394,7162405
NM_017452.2,STAU1,6780,20q13.1,8.2,235,675,3399,19.86,305394,7162405
NM_005507.2,CFL1,1072,11q13,8.7,235,630,1260,50,305394,7162405
NM_001144878.1,IMPA1,3612,8q21.13-q21.3,3.7,234,1496,3597,41.59,305394,7162405
NM_001144879.1,IMPA1,3612,8q21.13-q21.3,3.7,234,1496,3287,45.51,305394,7162405
NM_006937.3,SUMO2,6613,17q25.1,9.4,234,583,1066,54.69,305394,7162405
NM_005536.3,IMPA1,3612,8q21.13-q21.3,3.7,234,1496,3396,44.05,305394,7162405
NM_001005849.1,SUMO2,6613,17q25.1,9.4,234,583,994,58.65,305394,7162405
NM_019058.2,DDIT4,54541,10pter-q26.12,10.4,234,526,1752,30.02,305394,7162405
NM_005627.3,SGK1,6446,6q23,9.4,231,575,2414,23.82,305394,7162405
NM_001143676.1,SGK1,6446,6q23,9.4,231,575,3208,17.92,305394,7162405
NM_001143677.1,SGK1,6446,6q23,9.4,231,575,2459,23.38,305394,7162405
NM_001143678.1,SGK1,6446,6q23,9.4,231,575,2638,21.8,305394,7162405
NM_004911.4,PDIA4,9601,7q35,9.4,230,571,2955,19.32,305394,7162405
NM_001679.2,ATP1B3,483,3q23,3.9,228,1379,1853,74.42,305394,7162405
NM_005839.3,SRRM1,10250,1p36.11,3.1,228,1709,3938,43.4,305394,7162405
NM_015548.4,DST,667,6p12.1,0.3,228,16145,16645,97,305394,7162405
NM_006364.2,SEC23A,10484,14q21.1,4.8,227,1109,3846,28.84,305394,7162405
NM_012328.1,DNAJB9,4189,7q31,3.4,227,1553,2371,65.5,305394,7162405
NM_022780.3,RMND5A,64795,2p11.2,1.3,225,4015,6188,64.88,305394,7162405
NM_030939.4,C6orf62,81688,6p22.3,8.7,224,607,2475,24.53,305394,7162405
NM_016275.3,SELT,51714,3q25.1,2.1,222,2475,3498,70.75,305394,7162405
NM_001127400.1,YPEL5,51646,2p23.1,3.5,221,1497,2560,58.48,305394,7162405
NM_001127399.1,YPEL5,51646,2p23.1,3.5,221,1497,2324,64.41,305394,7162405
NM_016061.2,YPEL5,51646,2p23.1,3.5,221,1497,2263,66.15,305394,7162405
NM_001127401.1,YPEL5,51646,2p23.1,3.5,221,1497,2621,57.12,305394,7162405
NM_014713.4,LAPTM4A,9741,2p24.1,9.5,220,543,1769,30.7,305394,7162405
NM_016045.2,SLMO2,51012,20q13.32,2.5,220,2102,2567,81.89,305394,7162405
NM_017657.4,AFTPH,54812,2p14,2.4,218,2095,4042,51.83,305394,7162405
NM_203437.3,AFTPH,54812,2p14,2.3,218,2176,4123,52.78,305394,7162405
NM_005520.2,HNRNPH1,3187,5q35.3,7.2,218,711,2253,31.56,305394,7162405
NM_001002243.2,AFTPH,54812,2p14,2.4,218,2092,4039,51.79,305394,7162405
NM_001146320.1,GRAMD3,65983,5q23.2,8.1,217,630,2822,22.32,305394,7162405
NM_078487.2,CDKN2B,1030,9p21,2.4,217,2120,3988,53.16,305394,7162405
NM_003286.2,TOP1,7150,20q12-q13.1,5.8,217,878,3734,23.51,305394,7162405
NM_023927.2,GRAMD3,65983,5q23.2,8.1,217,630,2934,21.47,305394,7162405
NM_001146321.1,GRAMD3,65983,5q23.2,8.1,217,630,2977,21.16,305394,7162405
NM_001146319.1,GRAMD3,65983,5q23.2,8.1,217,630,2785,22.62,305394,7162405
NM_004936.3,CDKN2B,1030,9p21,2.4,217,2120,3865,54.85,305394,7162405
NM_001146322.1,GRAMD3,65983,5q23.2,8.1,217,630,2596,24.27,305394,7162405
NM_015393.3,PARM1,25849,4q13.3-q21.3,2.2,215,2289,5058,45.26,305394,7162405
NM_020412.4,CHMP1B,57132,18p11.21,2.5,214,1970,3060,64.38,305394,7162405
NM_002354.2,EPCAM,4072,2p21,4.7,214,1079,1721,62.7,305394,7162405
NM_001127225.1,CD59,966,11p13,3.1,213,1592,7681,20.73,305394,7162405
NM_001127226.1,CD59,966,11p13,3.1,213,1592,7616,20.9,305394,7162405
NM_203330.2,CD59,966,11p13,3.1,213,1592,7783,20.45,305394,7162405
NM_000611.5,CD59,966,11p13,3.1,213,1592,7622,20.89,305394,7162405
NM_203331.2,CD59,966,11p13,3.1,213,1592,7667,20.76,305394,7162405
NM_001127227.1,CD59,966,11p13,3.1,213,1592,7560,21.06,305394,7162405
NM_001127223.1,CD59,966,11p13,3.1,213,1592,7788,20.44,305394,7162405
NM_203329.2,CD59,966,11p13,3.1,213,1592,7738,20.57,305394,7162405
NM_001165.3,BIRC3,330,11q22,1,212,4971,5233,94.99,305394,7162405
NM_016623.3,FAM49B,51571,8q24.21,9.1,210,543,2199,24.69,305394,7162405
NM_019027.3,RBM47,54502,4p14,2.9,209,1680,4490,37.42,305394,7162405
NM_001098634.1,RBM47,54502,4p14,2.9,209,1680,5146,32.65,305394,7162405
NM_001197080.1,IFRD1,3475,7q31.1,4.6,208,1070,3239,33.03,305394,7162405
NM_033103.4,RHPN2,85415,19q13.11,7.3,208,668,3535,18.9,305394,7162405
NM_001197079.1,IFRD1,3475,7q31.1,4.6,208,1070,3404,31.43,305394,7162405
NM_001007245.2,IFRD1,3475,7q31.1,4.6,208,1070,3514,30.45,305394,7162405
NM_001550.3,IFRD1,3475,7q31.1,4.6,208,1070,3305,32.38,305394,7162405
NM_003217.2,TMBIM6,7009,12q12-q13,1.9,207,2540,2885,88.04,305394,7162405
NM_000786.3,CYP51A1,1595,7q21.2,2.1,207,2354,3208,73.38,305394,7162405
NM_001146152.1,CYP51A1,1595,7q21.2,2.1,207,2354,2934,80.23,305394,7162405
NM_001098576.1,TMBIM6,7009,12q12-q13,1.9,207,2540,3255,78.03,305394,7162405
NM_001184701.1,UGDH,7358,4p15.1,3.3,207,1476,3026,48.78,305394,7162405
NM_003359.3,UGDH,7358,4p15.1,3.3,207,1476,3195,46.2,305394,7162405
NM_020529.2,NFKBIA,4792,14q13,6.4,207,759,1571,48.31,305394,7162405
NM_001184700.1,UGDH,7358,4p15.1,3.3,207,1476,2999,49.22,305394,7162405
NM_021243.2,C6orf115,58527,6q24.1,8.8,207,550,850,64.71,305394,7162405
NM_012120.2,CD2AP,23607,6p12,1.1,205,4538,5412,83.85,305394,7162405
NM_016245.3,HSD17B11,51170,4q22.1,6.5,205,737,1878,39.24,305394,7162405
NM_001142434.1,MGEA5,10724,10q24.1-q24.3,4.2,203,1137,5048,22.52,305394,7162405
NM_012215.3,MGEA5,10724,10q24.1-q24.3,4.2,203,1137,5207,21.84,305394,7162405
NM_004417.3,DUSP1,1843,5q34,10.7,202,441,2027,21.76,305394,7162405
NM_005625.3,SDCBP,6386,8q12,5.3,201,897,2173,41.28,305394,7162405
NM_001007068.1,SDCBP,6386,8q12,5.3,201,897,2155,41.62,305394,7162405
NM_001007069.1,SDCBP,6386,8q12,5.3,201,897,2170,41.34,305394,7162405
NM_001007067.1,SDCBP,6386,8q12,5.3,201,897,2170,41.34,305394,7162405
NM_001007070.1,SDCBP,6386,8q12,5.3,201,897,2167,41.39,305394,7162405
NM_005347.4,HSPA5,3309,9q33.3,3.5,199,1351,3973,34,305394,7162405
NM_002954.5,RPS27A,6233,2p16,9.1,199,513,1068,48.03,305394,7162405
NM_001177413.1,RPS27A,6233,2p16,9.4,198,495,894,55.37,305394,7162405
NM_001009923.1,C20orf30,29058,20p13,11.8,198,394,1568,25.13,305394,7162405
NM_014145.4,C20orf30,29058,20p13,11.8,198,394,1693,23.27,305394,7162405
NM_001009925.1,C20orf30,29058,20p13,11.8,198,394,1462,26.95,305394,7162405
NM_001009924.1,C20orf30,29058,20p13,11.8,198,394,1786,22.06,305394,7162405
