Protein name,Official Gene Name
#Signal Transduction,
TGFBR3,TGFBR3
WISP1,WISP1
WNT5A,WNT5A
MAPK1,MAPK1
MAPK3,MAPK3
PTEN,PTEN
EGFR,EGFR
IL6ST,IL6ST
#Pluripotency Maintenance Pathway,
LIFR,LIFR
#Fibroblast Growth Factor (FGF) Signaling Pathway,
FGFR1,FGFR1
FGFR2,FGFR2
FGFR3,FGFR3
FGFR4,FGFR4
CDX2,CDX2
#Hedgehog Signaling Pathway,
PTCH1,PTCH1
PTCHD2,PTCHD2
SMO,SMO
GLI1,GLI1
GLI2,GLI2
GLI3,GLI3
SUFU,SUFU
#Notch Signaling Pathway,
NCSTN,NCSTN
NOTCH1,NOTCH1
NOTCH2,NOTCH2
NOTCH3,NOTCH3
NOTCH4,NOTCH4
PSENEN,PSENEN
PSEN1,PSEN1
PSEN2,PSEN2
RBPJL,RBPJL
#TGFb Superfamily Pathway,
ACVRL1,ACVRL1
ACVR1,ACVR1
ACVR1B,ACVR1B
ACVR1C,ACVR1C
ACVR2A,ACVR2A
ACVR2B,ACVR2B
AMHR2,AMHR2
BMPR1A,BMPR1A
BMPR1B,BMPR1B
BMPR2,BMPR2
ENG,ENG
LTBP1,LTBP1
LTBP2,LTBP2
LTBP3,LTBP3
LTBP4,LTBP4
RGMA,RGMA
TGFBR1,TGFBR1
TGFBR2,TGFBR2
TGFBRAP1,TGFBRAP1
EP300,EP300
SMAD1,SMAD1
SMAD2,SMAD2
SMAD3,SMAD3
SMAD4,SMAD4
SMAD5,SMAD5
SMAD6,SMAD6
SMAD7,SMAD7
SMAD9,SMAD9
CREBBP,CREBBP
E2F5,E2F5
RBL1,RBL1
RBL2,RBL2
SP1,SP1
ZEB2,ZEB2
#Wnt Signaling Pathway,
FZD1,FZD1
FZD2,FZD2
FZD3,FZD3
FZD4,FZD4
FZD5,FZD5
FZD6,FZD6
FZD7,FZD7
FZD8,FZD8
FZD9,FZD9
LRP5,LRP5
LRP6,LRP6
VANGL2,VANGL2
BCL9,BCL9
BCL9L,BCL9L
LEF1,LEF1
NFAT5,NFAT5
NFATC1,NFATC1
NFATC2,NFATC2
NFATC3,NFATC3
NFATC4,NFATC4
PYGO2,PYGO2
TCF7L1,TCF7L1
TCF7L2,TCF7L2
TCF7,TCF7
#Surface Molecules,
CD28,CD28
CD34,CD34
CD3D,CD3D
CD3E,CD3E
CD3G,CD3G
CD4 ,CD4 
CD8A,CD8A
ICAM1,ICAM1
ICOS,ICOS
ISG20,ISG20
#Chemokines,
CCL1,CCL1
CCL20,CCL20
CCL22,CCL22
CD247,CD247
CX3CL1,CX3CL1
CXCL12,CXCL12
CXCL6,CXCL6
MMP13,MMP13
MMP3,MMP3
#Cytokines,
IL13,IL13
IL15,IL15
IL17C,IL17C
IL17D,IL17D
IL21,IL21
IL22,IL22
IL25,IL25
IL27,IL27
IL3,IL3
IL5,IL5
#Cytokine Receptors,
IL12RB1,IL12RB1
IL12RB2,IL12RB2
IL17RB,IL17RB
IL17RC,IL17RC
IL17RD,IL17RD
IL17RE,IL17RE
IL23R,IL23R
IL6R,IL6R
IL7R,IL7R
#Signaling Pathway Molecules and Transcriptional Factors,
CACYBP,CACYBP
CEBPB,CEBPB
EDG1,EDG1
FOXP3,FOXP3
GATA3,GATA3
JAK1,JAK1
JAK2,JAK2
RORC,RORC
SOCS1,SOCS1
SOCS3,SOCS3
STAT4,STAT4
STAT5A,STAT5A
STAT6,STAT6
SYK,SYK
TBX21,TBX21
YY1,YY1
#Cytokines:,
#Chemokines,
CCL11,CCL11
CCL13,CCL13
CCL16,CCL16
CCL17,CCL17
CCL19,CCL19
CCL21,CCL21
CCL23,CCL23
CCL24,CCL24
CCL3,CCL3
CCL4,CCL4
CCL5,CCL5
CCL8,CCL8
CXCL3,CXCL3
CXCL9,CXCL9
#Other Cytokines,
CSF1,CSF1
FASLG,FASLG
FLT3LG,FLT3LG
IL1A,IL1A
IL1RN,IL1RN
LTB,LTB
TNFSF14,TNFSF14
#Cytokine Receptors,
IL10RB,IL10RB
IL1RAP,IL1RAP
IL22RA2,IL22RA2
IL8RA,IL8RA
IL8RB,IL8RB
CCR1,CCR1
CCR2,CCR2
CCR3,CCR3
CCR4,CCR4
CCR5,CCR5
CCR6,CCR6
CCR7,CCR7
CXCR4,CXCR4
#Other Genes involved in Cytokine-Cytokine Receptor Interaction,
IL18RAP,IL18RAP
#Acute-Phase Response,
CRP,CRP
#Inflammatory Response,
BCL6,BCL6
C3,C3
C3AR1,C3AR1
C4A,C4A
CD40LG,CD40LG
HDAC4,HDAC4
IL9,IL9
ITGB2,ITGB2
KNG1,KNG1
NR3C1,NR3C1
#Chemokine Genes,
C5,C5
#CCL15,
CCL18,CCL18
CCL25,CCL25
CCL26,CCL26
CXCL13,CXCL13
CXCL14,CXCL14
CCR8,CCR8
CCR9,CCR9
#Chemokine Receptors,
CX3CR1,CX3CR1
XCR1,XCR1
#Cytokine Genes,
IFNA2,IFNA2
SCYE1,SCYE1
SPP1,SPP1
#Cytokine Receptors,
IL10RA,IL10RA
IL13RA1,IL13RA1
IL5RA,IL5RA
IL9R,IL9R
#Other Genes Involved in Inflammatory Response,
ABCF1,ABCF1
CRP,CRP
ICEBERG,ICEBERG
LTB4R,LTB4R
