Protein name,Official Gene Name,codelink
Rho GTPase-activation protein 25,ARHGAP25,1
Rho GTPase-activation protein 26,ARHGAP26,1
Rho GTPase-activation protein 27,ARHGAP27,1
Rho GTPase-activation protein 28,ARHGAP28,1
Rho GTPase-activation protein 29,ARHGAP29,1
Rho GTPase-activation protein 30,ARHGAP30,1
Rho GTPase-activation protein 31,ARHGAP31,1
Rho GTPase-activation protein 32,ARHGAP32,1
Rho GTPase-activation protein 33,ARHGAP33,1
Rho GTPase-activation protein 36,ARHGAP36,0
Rho GTPase-activation protein 39,ARHGAP39,1
Rho GTPase-activation protein 40,ARHGAP40,1
Rho GTPase-activation protein 42,ARHGAP42,0
Rho GTPase-activation protein 44,ARHGAP44,1
Rho GTPase-activation protein 11A,ARHGAP11A,1
Rho GTPase-activation protein 11B,ARHGAP11B,0
Focal adhesion kinase 1,PTK2,1
Proto-oncogene tyrosine-protein kinase Src,SRC,1
Prostaglandin G/H synthase 2,PTGS2,1
Prostaglandin G/H synthase 1,PTGS1,1
Urokinase plasminogen activator surface receptor,PLAUR,1
#Happy mutuals/epithelia prescribing Tregs,,
Peroxisome proliferator-activated receptor gamma,PPARG,1
Transforming growth factor beta-1,TGFB1,1
Transforming growth factor beta-2,TGFB2,1
Transforming growth factor beta-3,TGFB3,1
Thymic stromal lymphopoietin,TSLP,1
#Red lettering are genes not found on the Codelink array. I removed the other names category. I copied some that had double names and split them apart see 117,,
